menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags,imageURL
,Base Pizza,,,,Featured items,,,,Sir George,30.00,standard,"BBQ Sauce, bacon, pepperoni, red onion, pulled beef, mozzarella topped with your choice of Chipotle mayo or Aioli",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/33574da34fe56f386a6b03dc76a40c70/21fc1b0af01d0e1944e043c8c4758bdb.jpeg
,Base Pizza,,,,Featured items,,,,Pepperoni,28.00,standard,"House-made tomato sauce, mozzarella, locally made pepperoni",,,,https://tb-static.uber.com/prod/image-proc/processed_images/2eb837f14cd698e2e2d3997369da9c67/a19bb09692310dfd41e49a96c424b3a6.jpeg
,Base Pizza,,,,Featured items,,,,Margherita,25.00,standard,"House-made tomato sauce, fresh mozzarella, basil, cracked pepper, and olive oil. Vegetarian",,,Vegetarian,https://tb-static.uber.com/prod/image-proc/processed_images/4dfe215101ea3c2c3f51e5be4b3dffde/a19bb09692310dfd41e49a96c424b3a6.jpeg
,Base Pizza,,,,Featured items,,,,BBQ Chicken,30.00,standard,"BBQ Chicken, olive oil garlic, mozzarella, feta, fire roasted capsicum, red onion, jalapeno, topped with coriander",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/6c8205dba7380b474349385b93b122fe/35226e8bbad4224c4eb577c9bfc1f9d9.jpeg
,Base Pizza,,,,Featured items,,,,Hand Cut Fries,11.00,standard,Delicious & Hot Hand Cut Fries,,,,https://tb-static.uber.com/prod/image-proc/processed_images/950414c67279d77ca95eafc17e98fed8/a19bb09692310dfd41e49a96c424b3a6.jpeg
,Base Pizza,,,,Featured items,,,,Garlic Fries,13.00,standard,Hand Cut Fries tossed in garlic butter,,,,https://tb-static.uber.com/prod/image-proc/processed_images/b45ce8b19b39b17202a916fa78bc65c3/a19bb09692310dfd41e49a96c424b3a6.jpeg
,Base Pizza,,,,Featured items,,,,"Mac ""N"" Cheese Hashbrown",13.00,standard,"Cheesy gooey Mac ""N"" Cheese, crumbed in panko breadcrumbs and deep fried, served with sweet chilli sauce (Vegetarian)",,,Vegetarian,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/93c54a8516ef1e345e6a13eb943ddbe5/5090f955c5d99620c3349c721fd7bf48.jpeg
,Base Pizza,,,,Featured items,,,,The King,28.00,standard,"House made tomato sauce, Shaved ham & pineapple",,,,https://tb-static.uber.com/prod/image-proc/processed_images/334c14e18163d2042e98efdb66d3ddaf/a19bb09692310dfd41e49a96c424b3a6.jpeg
,Base Pizza,,,,Featured items,,,,Butter Chicken Pizza,30.00,standard,"Butter chicken, with Home-made Butter chicken sauce, Raita, capsicum, red onion and topped up with fresh coriander",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/282e6f28b3c0752a4df230cb552fa2a1/684cbca4e892dab0697ad884fafe72f2.jpeg
,Base Pizza,,,,Featured items,,,,Mushroom & Feta,27.00,standard,"Olive oil, garlic, mushrooms, feta, mozzarella, fresh thyme. Vegetarian",,,Vegetarian,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/5bd7d8d5b61982ccec784f7fb25c28a1/c4df99af16106f67a5bc37e5668d3798.jpeg
,Base Pizza,,,,Featured items,,,,Four Cheese,28.00,standard,"Olive oil, garlic, fresh mozzarella, gorgonzola, parmesan, provolone caramelized onions & fresh thyme",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/b25c6cddf758221aefbf44c81109cd5c/d1e509b2b993aed0c73b2d48dfcd86f4.jpeg
,Base Pizza,,,,Featured items,,,,Classic Cheese,23.00,standard,Large Mozzarella Cheese Pizza With our Base tomato sauce. Simple but excellent,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/674ac155b7b04579991b7221200cc2c6/4c37c753729bcce707cca422e37ad548.jpeg
,Base Pizza,,,,Featured items,,,,Vegan Margherita,26.00,standard,"House made tomato sauce, olive oil, vegan mozzarella, vegan parmesan & Fresh Basil",,,Vegan,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/a6b95ac6f9ecbffe14cc3fb259564773/88ea5790c6d9552166e9e40835f27057.jpeg
,Base Pizza,,,,Featured items,,,,Tiramisu,14.00,standard,This Dessert Needs No Intro But To Say Its Creamy & Boozy,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/23d33b0df480cc695c100e612ebd0a83/c3d6b9c15ffb6ff96e14895fb4d5659f.jpeg
,Base Pizza,,,,Featured items,,,,Oreo Cheese Cake,14.00,standard,One slice of base's famous Oreo Cheesecake,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/7499482f7c66f1fcf205e6d1e03fbe3e/e49545276d7818a7f18e200a0ab7cceb.jpeg
,Base Pizza,,,,Featured items,,,,Vegan Pepperoni,29.00,standard,"House-made tomato sauce, jalapenos, capsicum, Red onion, House-made vegan pepperoni, vegan cheese, and topped up with Fresh Basil",,,Vegan,https://tb-static.uber.com/prod/image-proc/processed_images/40b525c59b0a74ccde3229439bbeef21/a19bb09692310dfd41e49a96c424b3a6.jpeg
,Base Pizza,,,,Featured items,,,,Vegan Mushroom,28.00,standard,"Olive Oil, confit garlic, field mushrooms, thyme, vegan parmesan, vegan mozzarella & Vegan Feta",,,Vegan,https://tb-static.uber.com/prod/image-proc/processed_images/675a8976dc28ed25bd0b623ea9236e08/a19bb09692310dfd41e49a96c424b3a6.jpeg
,Base Pizza,,,,Large Pizzas,,,,Sir George,30.00,standard,"BBQ Sauce, bacon, pepperoni, red onion, pulled beef, mozzarella topped with your choice of Chipotle mayo or Aioli",,,,https://tb-static.uber.com/prod/image-proc/processed_images/0a5c463bb289b861d8bd9fa1c083a3a0/a19bb09692310dfd41e49a96c424b3a6.jpeg
,Base Pizza,,,,Large Pizzas,,,,Margherita,25.00,standard,"House-made tomato sauce, fresh mozzarella, basil, cracked pepper, and olive oil. Vegetarian",,,Vegetarian,https://tb-static.uber.com/prod/image-proc/processed_images/4dfe215101ea3c2c3f51e5be4b3dffde/a19bb09692310dfd41e49a96c424b3a6.jpeg
,Base Pizza,,,,Large Pizzas,,,,Pepperoni,28.00,standard,"House-made tomato sauce, mozzarella, locally made pepperoni",,,,https://tb-static.uber.com/prod/image-proc/processed_images/2eb837f14cd698e2e2d3997369da9c67/a19bb09692310dfd41e49a96c424b3a6.jpeg
,Base Pizza,,,,Large Pizzas,,,,BBQ Chicken,30.00,standard,"BBQ Chicken, olive oil garlic, mozzarella, feta, fire roasted capsicum, red onion, jalapeno, topped with coriander",,,,https://tb-static.uber.com/prod/image-proc/processed_images/cc77e66b0dc55944f763493076180241/a19bb09692310dfd41e49a96c424b3a6.jpeg
,Base Pizza,,,,Large Pizzas,,,,Mushroom & Feta,27.00,standard,"Olive oil, garlic, mushrooms, feta, mozzarella, fresh thyme. Vegetarian",,,Vegetarian,https://tb-static.uber.com/prod/image-proc/processed_images/978060318b73c58175ff5f82de99b19c/a19bb09692310dfd41e49a96c424b3a6.jpeg
,Base Pizza,,,,Large Pizzas,,,,The King,28.00,standard,"House made tomato sauce, mozzarella, Shaved ham & pineapple",,,,https://tb-static.uber.com/prod/image-proc/processed_images/334c14e18163d2042e98efdb66d3ddaf/a19bb09692310dfd41e49a96c424b3a6.jpeg
,Base Pizza,,,,Large Pizzas,,,,Four Cheese,28.00,standard,"Olive oil, garlic, fresh mozzarella, gorgonzola, parmesan, provolone caramelized onions & fresh thyme",,,,https://tb-static.uber.com/prod/image-proc/processed_images/030ab6ce1f183e515c1f204c3491c2e9/a19bb09692310dfd41e49a96c424b3a6.jpeg
,Base Pizza,,,,Large Pizzas,,,,Classic Cheese,23.00,standard,Large Mozzarella Cheese Pizza With our Base tomato sauce. Simple but excellent,,,,https://tb-static.uber.com/prod/image-proc/processed_images/3e46f79dd150475df89a6515c8eb94e4/a19bb09692310dfd41e49a96c424b3a6.jpeg
,Base Pizza,,,,Large Pizzas,,,,Vegan Margherita,26.00,standard,"House made tomato sauce, olive oil, vegan mozzarella, vegan parmesan & Fresh Basil",,,,https://tb-static.uber.com/prod/image-proc/processed_images/7733004588c086ec4177ebe7ac161b58/a19bb09692310dfd41e49a96c424b3a6.jpeg
,Base Pizza,,,,Large Pizzas,,,,Butter Chicken Pizza,30.00,standard,"Butter chicken, with Home-made Butter chicken sauce, Raita, capsicum, red onion and topped up with fresh coriander",,,,https://tb-static.uber.com/prod/image-proc/processed_images/59219a3ad6a8638ecd72089cb9c9d6f2/a19bb09692310dfd41e49a96c424b3a6.jpeg
,Base Pizza,,,,Large Pizzas,,,,Vegan Mushroom,28.00,standard,"Olive Oil, confit garlic, field mushrooms, thyme, vegan parmesan, vegan mozzarella & Vegan Feta",,,,https://tb-static.uber.com/prod/image-proc/processed_images/675a8976dc28ed25bd0b623ea9236e08/a19bb09692310dfd41e49a96c424b3a6.jpeg
,Base Pizza,,,,Large Pizzas,,,,Vegan Pepperoni,29.00,standard,"House-made tomato sauce, jalapenos, capsicum, Red onion, House-made vegan pepperoni, vegan cheese, and topped up with Fresh Basil",,,,https://tb-static.uber.com/prod/image-proc/processed_images/40b525c59b0a74ccde3229439bbeef21/a19bb09692310dfd41e49a96c424b3a6.jpeg
,Base Pizza,,,,Sides,,,,Hand Cut Fries,11.00,standard,Delicious & Hot Hand Cut Fries,,,,https://tb-static.uber.com/prod/image-proc/processed_images/950414c67279d77ca95eafc17e98fed8/a19bb09692310dfd41e49a96c424b3a6.jpeg
