menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags
,Menu,,,,Featured items,,,,Loaded Nachos,21.00,standard,Loaded Nachos,,,
,Menu,,,,Featured items,,,,Fish and Chips,20.70,standard,"Beer batter crispy fish fried on to order, cajun fries, tartare sauce, farm salad, dressing and lemon.",,,
,Menu,,,,Featured items,,,,Spicy Bird Burger,17.25,standard,"Buttermilk fried chicken, kimchi aioli, creamy slaw, jalapeno and bird's eye chilli pineapple salsa.",,,
,Menu,,,,Featured items,,,,Fishy Burger,18.40,standard,"Beer battered crispy fish fried on to order, pickles, lettuce, tomato and house blend tartare sauce.",,,
,Menu,,,,Featured items,,,,The Dominator Burger,20.70,standard,"Blend beef mince, caramelised onion, smokey tomato jam, bacon, smoked cheese and dominator creamy sauce.",,,
,Menu,,,,Featured items,,,,Bombay Fried Chicken,20.70,standard,Bombay Fried Chicken,,,
,Menu,,,,Burgers,,,,Spicy Bird Burger,17.25,standard,"Buttermilk fried chicken, kimchi aioli, creamy slaw, jalapeno and bird's eye chilli pineapple salsa.",,,
,Menu,,,,Burgers,,,,Grill Thrill Burger,18.40,standard,"Cajun marinade grilled chicken, pickled aioli, capsicum and onion fajita, onion ring, tomato, fancy lettuce, tomato chutney and cheddar cheese.",,,
,Menu,,,,Burgers,,,,The Dominator Burger,20.70,standard,"Blend beef mince, caramelised onion, smokey tomato jam, bacon, smoked cheese and dominator creamy sauce.",,,
,Menu,,,,Burgers,,,,Smashed It Burger,20.70,standard,"Slow cooked beef brisket, gohchujang mayonnaise, creamy slaw, chimichurri and pink pickle cabbage.",,,
,Menu,,,,Burgers,,,,Fishy Burger,18.40,standard,"Beer battered crispy fish fried on to order, pickles, lettuce, tomato and house blend tartare sauce.",,,
,Menu,,,,Burgers,,,,Meat Less Burger,18.40,standard,"House marinaded potatoes and cheese patty, lettuce, fresh tomato, pickles, tomato chutney and dominator creamy sauce.",,,
,Menu,,,,Fries & loaded fries,,,,Cajun Fries,8.05,standard,Crispy fries seasoned with Cajun spices.,,,
,Menu,,,,Fries & loaded fries,,,,Wedges,9.20,standard,Crispy potato wedges served hot.,,,
,Menu,,,,Fries & loaded fries,,,,Loaded Fries,13.80,standard,"Crispy bacon and melted cheese, tomato and aioli.",,,
,Menu,,,,Not Burgers,,,,Fish and Chips,20.70,standard,"Beer batter crispy fish fried on to order, cajun fries, tartare sauce, farm salad, dressing and lemon.",,,Popular
,Menu,,,,Not Burgers,,,,Loaded Nachos,21.00,standard,Tortilla chips smothered in melted cheese and toppings.,,,
,Menu,,,,Fried Chicken,,,,Bombay Fried Chicken,20.70,standard,,,,
,Menu,,,,Fried Chicken,,,,Dominator Fried Chicken,17.25,standard,,,,
,Menu,,,,Fried Chicken,,,,Buttermilk Fried chicken,17.00,standard,,,,
