menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags
,Opening Special,,,,Confectionery-Snacks,,,,Koala's March,0.89,standard,37g varieties,,,
,Opening Special,,,,Confectionery-Snacks,,,,Rice Moments,0.99,standard,100g varieties,,,
,Opening Special,,,,Confectionery-Snacks,,,,Hi-Chew Bags,0.99,standard,25g varieties,,,
,Opening Special,,,,Confectionery-Snacks,,,,Feastables 60gm Bar Range,1.49,standard,2 for $2.49 or 1 for $1.49,,,
,Opening Special,,,,Confectionery-Snacks,,,,Feastables 35gm Milk Crunch Bar,0.89,standard,5 for $3.99 or $0.89 each,,,
,Opening Special,,,,Confectionery-Snacks,,,,Kewpie Mayo,5.89,standard,300g varieties,,,
,Opening Special,,,,Confectionery-Snacks,,,,Sour Smog Ball - Toxic Waste - Slime Licker & Nestle Bar One,1.49,standard,Any 4 for $5 or $1.49 each,,,
,Opening Special,,,,Confectionery-Snacks,,,,Aneka Breakfast Cracker,1.99,standard,300gm,,,
,Opening Special,,,,Confectionery-Snacks,,,,Nerds Rope Rainbow,0.99,standard,,,,
,Opening Special,,,,Beverages,,,,Mogu Mogu,0.99,standard,320ml bottles,,,
,Opening Special,,,,Beverages,,,,Vida Cans,0.99,standard,325ml cans,,,
,Opening Special,,,,Beverages,,,,Coke range 330ml 18pk,17.99,standard,330ml cans,,,
,Opening Special,,,,Beverages,,,,Coke range 330ml 8pk,9.99,standard,330ml cans,,,
,Opening Special,,,,Beverages,,,,Mother and Live+ Energy Drinks 250ml 6pk,6.89,standard,,,,
,Opening Special,,,,Beverages,,,,Sparkling Duet 330ml 6pk,5.89,standard,330ml 6pk range,,,
,Opening Special,,,,Beverages,,,,Savia Aloe Vera Drink,3.69,standard,1.5lit bottles,,,
,Opening Special,,,,Beverages,,,,Kiwi Blue Water 4pk 1.5L,5.49,standard,,,,
,Opening Special,,,,Beverages,,,,V Energy Drink 250ml 4pk,4.00,standard,Please come and find out instore for a surprise,,,
,Opening Special,,,,Essentials-Baby Needs,,,,Lotus Sushi Rice 20kg varieties,29.99,standard,,,,
,Opening Special,,,,Essentials-Baby Needs,,,,Lotus Sushi Rice 2kg varieties,4.99,standard,,,,
,Opening Special,,,,Essentials-Baby Needs,,,,Simply Canola Oil 2L,7.99,standard,,,,
,Opening Special,,,,Essentials-Baby Needs,,,,Clipper Lighters,0.99,standard,,,,
,Opening Special,,,,Essentials-Baby Needs,,,,Nestle Shredded Wheat,5.69,standard,360gm,,,
,Opening Special,,,,Essentials-Baby Needs,,,,Fortune Long Grain 1kg Rice,2.99,standard,,,,
,Opening Special,,,,Essentials-Baby Needs,,,,Mini Stars Wipes,1.49,standard,80s,,,
,Opening Special,,,,Essentials-Baby Needs,,,,Kidicare Nappies/Pants Bigger Value Pack Range,13.99,standard,,,,
,Opening Special,,,,Essentials-Baby Needs,,,,Kidicare Nappies/Pants Small Pack Range,6.99,standard,,,,
,Opening Special,,,,Frozen-Chilled,,,,Hilsa Fish per kg,29.49,standard,,,,
,Opening Special,,,,Frozen-Chilled,,,,Rohu Fish per kg,15.99,standard,,,,
,Opening Special,,,,Frozen-Chilled,,,,Talapia per kg,9.99,standard,,,,
,Opening Special,,,,Frozen-Chilled,,,,Rama San Veges,1.99,standard,side varieties,,,
,Opening Special,,,,Frozen-Chilled,,,,Ben & Jerry's Ice Cream,0.00,standard,Check Out Instore for price,,,
,Opening Special,,,,Frozen-Chilled,,,,Other Fish Range,0.00,standard,"Various fish available - Hilsha fish (whole and stacks), Koral, Kaski, Magur, Pangas, Rohu fish, Chole, Small prawn, Talapia (whole and stacks), Dry Lottta, Balachong - Price vary from per pack to kg rate",,,
,Opening Special,,,,Frozen-Chilled,,,,Emma Jane's Hash Browns 20pk,9.99,standard,,,,
,Opening Special,,,,Frozen-Chilled,,,,Emma Jane's Croquettes,2.99,standard,,,,
,Opening Special,,,,Frozen-Chilled,,,,Emma Jane's Mashed Potatoes,4.39,standard,,,,
,Opening Special,,,,Frozen-Chilled,,,,Emma Jane's Sheppards Pie,9.99,standard,,,,
,Opening Special,,,,Frozen-Chilled,,,,Frozen Red Leaf/Lal Shak,3.29,standard,,,,
,Opening Special,,,,Frozen-Chilled,,,,Frozen Dry Mango,4.89,standard,,,,
,Opening Special,,,,Frozen-Chilled,,,,Parval/Green Bean Pran Bags,0.49,standard,,,,
,Opening Special,,,,Frozen-Chilled,,,,Frozen Kochur Loti,3.89,standard,,,,
,Opening Special,,,,Frozen-Chilled,,,,Frozen Meat and Chicken Patties Leader Range,12.89,standard,Except 50pk beef patties for $17.99,,,
,Opening Special,,,,Frozen-Chilled,,,,Frozen Leader Beef Patties 50pk,17.99,standard,,,,
,Opening Special,,,,Frozen-Chilled,,,,Emma Jane's Dessert Range,5.89,standard,,,,
