menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags,imageURL
,Menu,,,,Family Meal,,,,Fried chicken Family feast ( 8 Drums & 4 Thighs with Large chips and 1.5 l drink),58.00,standard,"Enjoy a hearty meal with 8 chicken drums, 4 thighs, large chips, and a refreshing 1.5L drink.",,,Popular,https://tb-static.uber.com/prod/image-proc/processed_images/669a9df4c72b08744eb4a3aa2836b216/7f4ae9ca0446cbc23e71d8d395a98428.jpeg
,Menu,,,,Family Meal,,,,Family Meal,40.00,standard,"Two kebab wraps, two can drinks and two chips.",,,,
,Menu,,,,Family Meal,,,,Kebab wrap combo for three,58.00,standard,"Three kebab wraps, three can drinks and three chips.",,,,
,Menu,,,,Family Meal,,,,Kebab wrap with 2 Drums and a can drink.,24.50,standard,"Choose your favourite meat , salads and sauces. Comes with 2 seasons fried drums with a can drink.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/26175648c54c4e482b2528b7235991f2/58f691da9eaef86b0b51f9b2c483fe63.jpeg
,Menu,,,,Family Meal,,,,Fish and fried chicken combo ( 4 pieces ),22.50,standard,"2 Crispy battered Hoki fish , 2 seasoned fried drums and a regular chips with a can drink.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/57759a64b7926bb4cfd93e5124716595/58f691da9eaef86b0b51f9b2c483fe63.jpeg
,Menu,,,,Family Meal,,,,Kebab wrap combo with regular fries and 750ml Milkshake,24.50,standard,"Kebab wrap with your choice of meat, served with regular fries and a refreshing can drink.",,,Popular,
,Menu,,,,Family Meal,,,,Meat on rice with regular fries and 750ml Milkshake,26.50,standard,"Savor your choice of meat on rice, paired with regular fries and a refreshing 750ml milkshake.",,,,
,Menu,,,,Family Meal,,,,"2 Hoki fish, 2 sausage and large chips with a can drink",22.50,standard,"2 Pieces of battered fish, 2 sausages and a crispy fries with seasoning salt served with Tartare sauce and a can drink.",,,,
,Menu,,,,Kebabs,,,,Butter Chicken On Chips,18.50,standard,Marinated Fresh donner chicken on chips. Comes with Butter chicken Sauce and lots of cheese.,,,,https://tb-static.uber.com/prod/image-proc/processed_images/916237e53b19e3f3639f4ffe71555498/f0d1762b91fd823a1aa9bd0dab5c648d.jpeg
,Menu,,,,Kebabs,,,,Butter Chicken Kebab Wrap,14.75,standard,"Butter Chicken kebab comes with Butter Chicken Sauce , Marinated chicken breast donner kebab with hollandaise sauce. You can select salad of your choice",,,,https://tb-static.uber.com/prod/image-proc/processed_images/4dba99befa183cec2dd4709858cdfe89/f0d1762b91fd823a1aa9bd0dab5c648d.jpeg
