menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags
,Menu,,,,Family Meal,,,,Fried chicken Family feast ( 8 Drums & 4 Thighs with Large chips and 1.5 l drink),58.00,standard,"Enjoy a hearty meal with 8 chicken drums, 4 thighs, large chips, and a refreshing 1.5L drink.",,,Popular
,Menu,,,,Family Meal,,,,Family Meal,40.00,standard,"Two kebab wraps, two can drinks and two chips.",,,
,Menu,,,,Family Meal,,,,Kebab wrap combo for three,58.00,standard,"Three kebab wraps, three can drinks and three chips.",,,
,Menu,,,,Family Meal,,,,Kebab wrap with 2 Drums and a can drink.,24.50,standard,"Choose your favourite meat , salads and sauces. Comes with 2 seasons fried drums with a can drink.",,,
,Menu,,,,Family Meal,,,,Fish and fried chicken combo ( 4 pieces ),22.50,standard,"2 Crispy battered Hoki fish , 2 seasoned fried drums and a regular chips with a can drink.",,,
,Menu,,,,Family Meal,,,,Kebab wrap combo with regular fries and 750ml Milkshake,24.50,standard,"Kebab wrap with your choice of meat, served with regular fries and a refreshing can drink.",,,Popular
,Menu,,,,Family Meal,,,,Meat on rice with regular fries and 750ml Milkshake,26.50,standard,"Savor your choice of meat on rice, paired with regular fries and a refreshing 750ml milkshake.",,,
,Menu,,,,Family Meal,,,,"2 Hoki fish, 2 sausage and large chips with a can drink",22.50,standard,"2 Pieces of battered fish, 2 sausages and a crispy fries with seasoning salt served with Tartare sauce and a can drink.",,,
,Menu,,,,Kebabs,,,,Butter Chicken On Chips,18.50,standard,Marinated Fresh donner chicken on chips. Comes with Butter chicken Sauce and lots of cheese.,,,
,Menu,,,,Kebabs,,,,Butter Chicken Kebab Wrap,14.75,standard,"Butter Chicken kebab comes with Butter Chicken Sauce , Marinated chicken breast donner kebab with hollandaise sauce. You can select salad of your choice",,,
,Menu,,,,Kebabs,,,,Kebab Wrap,15.90,standard,"Comes with your choice of meat, salad and three sauces.",,,
,Menu,,,,Kebabs,,,,Meat on Chips,19.90,standard,"Comes with chips, cheese, your choice of meat and three sauces.",,,
,Menu,,,,Kebabs,,,,Kebab on Rice,18.75,standard,"Comes with rice, your choice of meat, salad and three sauces.",,,
,Menu,,,,Kebabs,,,,Low Carbs,18.75,standard,"Comes with salad, your choice of meat and three sauces.",,,
,Menu,,,,Kebabs,,,,Loaded nachos,15.50,standard,"Crispy nachos with choice of meat and topped with onions, tomatoes, and olives for a delightful crunch and flavor.",,,
,Menu,,,,Kebabs,,,,Kebab wrap and drums combo,24.50,standard,Select any kebab wrap and enjoy a combination with 2 Drums with a can of drink,,,
,Menu,,,,Featured items,,,,Meat on Chips,19.90,standard,"Comes with chips, cheese, your choice of meat and three sauces.",,,
,Menu,,,,Featured items,,,,Kebab Wrap,15.90,standard,"Comes with your choice of meat, salad and three sauces.",,,
,Menu,,,,Featured items,,,,Dinner Box,17.50,standard,Includes a variety of meats and sides.,,,
,Menu,,,,Featured items,,,,Kebab on Rice,18.75,standard,"Comes with rice, your choice of meat, salad and three sauces.",,,
,Menu,,,,Featured items,,,,Chicken nibble with fries and can drink,19.50,standard,5 pieces chicken nibble with fries and can drink. Choose your favourite drink and sauce.,,,
,Menu,,,,Featured items,,,,Butter Chicken Swirl Chips. Large,7.50,standard,Large Size Butter Chicken Chips. Only Butter Chicken Sauce.,,,
,Menu,,,,Featured items,,,,Yokum Burger,12.00,standard,"Chicken and stuffing wrapped in egg, lettuce, onion and garlic aioli sauce.",,,
,Menu,,,,Featured items,,,,BAKLAVA,19.90,standard,TURKISH SWEET DISH WITH PISTACHIOS 6 PIECES,,,
,Menu,,,,Featured items,,,,Nachos,11.00,standard,With cheese and sour cream.,,,
