menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags
,Menu,,,,Most Liked,,,,I Am Piggie Burger,14.32,standard,"Buttermilk crispy chicken, streaky bacon, melted cheddar cheese, lettuce, homemade garlic aioli and homemade bbq sauce in our homemade toasted bun.",,,
,Menu,,,,Most Liked,,,,The Aztec,14.32,standard,"Homemade beef patty, melted cheddar cheese, smashed avocado, sautéed onions, home-made garlic aioli, crunchy jalapeños, lettuce and tomato in our homemade toasted bun.",,,
,Menu,,,,Most Liked,,,,The Big Daddy,21.90,standard,"Homemade double beef patty, double streaky bacon, double melted Cheddar cheese, crispy onions rings, crispy jalapeños, home-made garlic aioli and home-made BBQ sauce in our homemade toasted bun.",,,
,Menu,,,,Most Liked,,,,Gone Clucky,18.90,standard,"Buttermilk crispy chicken, streaky bacon, melted cheddar cheese, smashed avocado, gone burger sauce, sautéed onions, lettuce and tomato in our homemade toasted bun.",,,
,Menu,,,,Most Liked,,,,Gone Cheesy,17.90,standard,"Homemade beef patty, melted cheddar cheese, home-made garlic aioli, gherkins, sautéed onions, lettuce and tomato in our homemade toasted bun.",,,
,Menu,,,,Most Liked,,,,Loaded Wedges,15.90,standard,"Topped with Bacon, cheese and sweet chilli. Served with homemade aioli (Not Gluten free)",,,
,Menu,,,,Featured Items,,,,I Am Piggie Burger,14.32,standard,"Buttermilk crispy chicken, streaky bacon, melted cheddar cheese, lettuce, homemade garlic aioli and homemade bbq sauce in our homemade toasted bun.",,,
,Menu,,,,Featured Items,,,,The Aztec,14.32,standard,"Homemade beef patty, melted cheddar cheese, smashed avocado, sautéed onions, home-made garlic aioli, crunchy jalapeños, lettuce and tomato in our homemade toasted bun.",,,
,Menu,,,,Featured Items,,,,The Big Daddy,21.90,standard,"Homemade double beef patty, double streaky bacon, double melted Cheddar cheese, crispy onions rings, crispy jalapeños, home-made garlic aioli and home-made BBQ sauce in our homemade toasted bun.",,,
,Menu,,,,Featured Items,,,,Gone Clucky,18.90,standard,"Buttermilk crispy chicken, streaky bacon, melted cheddar cheese, smashed avocado, gone burger sauce, sautéed onions, lettuce and tomato in our homemade toasted bun.",,,
,Menu,,,,Featured Items,,,,Loaded Wedges,15.90,standard,"Topped with Bacon, cheese and sweet chilli. Served with homemade aioli (Not Gluten free)",,,
,Menu,,,,Featured Items,,,,Gone Cheesy,17.90,standard,"Homemade beef patty, melted cheddar cheese, home-made garlic aioli, gherkins, sautéed onions, lettuce and tomato in our homemade toasted bun.",,,
,Menu,,,,Featured Items,,,,Gone Classic,18.90,standard,"Homemade beef patty, streaky bacon,melted cheddar cheese, sautéed onions, beetroot relish, home made garlic aioli, fried egg, lettuce and tomato in our homemade toasted bun.",,,
,Menu,,,,Featured Items,,,,Premium Fries Regular,7.50,standard,Premium sure crispy fries served with home-made aioli.,,,
,Menu,,,,Featured Items,,,,Loaded Fries,15.99,standard,Premium sure crispy fries topped with bacon and cheese. Served with home-made Aioli.,,,
,Menu,,,,Featured Items,,,,The American,17.90,standard,"Homemade beef Pattie, streaky bacon, melted cheddar cheese, homemade onion rings, lettuce, homemade garlic aioli and homemade bbq sauce in our homemade toasted bun.",,,
,Menu,,,,Featured Items,,,,Retro Chicken,18.90,standard,"Marinated grilled chicken, streaky bacon, melted Camembert cheese, homemade garlic aioli, spiced plum sauce, sautéed onions, lettuce and tomato in our homemade toasted bun.",,,
,Menu,,,,Featured Items,,,,Coke Range,6.00,standard,Drink from Coke range,,,
,Menu,,,,Most Ordered,,,,The Big Daddy,21.90,standard,"Homemade double beef patty, double streaky bacon, double melted Cheddar cheese, crispy onions rings, crispy jalapeños, home-made garlic aioli and home-made BBQ sauce in our homemade toasted bun.",,,
,Menu,,,,Most Ordered,,,,Loaded Wedges,15.90,standard,"Topped with Bacon, cheese and sweet chilli. Served with homemade aioli (Not Gluten free)",,,
,Menu,,,,Most Ordered,,,,I Am Piggie Burger,14.32,standard,"Buttermilk crispy chicken, streaky bacon, melted cheddar cheese, lettuce, homemade garlic aioli and homemade bbq sauce in our homemade toasted bun.",,,
,Menu,,,,Most Ordered,,,,Gone Clucky,18.90,standard,"Buttermilk crispy chicken, streaky bacon, melted cheddar cheese, smashed avocado, gone burger sauce, sautéed onions, lettuce and tomato in our homemade toasted bun.",,,
,Menu,,,,Most Ordered,,,,Gone Cheesy,17.90,standard,"Homemade beef patty, melted cheddar cheese, home-made garlic aioli, gherkins, sautéed onions, lettuce and tomato in our homemade toasted bun.",,,
,Menu,,,,Most Ordered,,,,Premium Fries Regular,7.50,standard,Premium sure crispy fries served with home-made aioli.,,,
,Menu,,,,Most Ordered,,,,Loaded Fries,15.99,standard,Premium sure crispy fries topped with bacon and cheese. Served with home-made Aioli.,,,
,Menu,,,,Most Ordered,,,,The American,17.90,standard,"Homemade beef Pattie, streaky bacon, melted cheddar cheese, homemade onion rings, lettuce, homemade garlic aioli and homemade bbq sauce in our homemade toasted bun.",,,
,Menu,,,,Most Ordered,,,,Premium Fries Large,9.90,standard,Premium sure crispy fries served with home-made aioli.,,,
,Menu,,,,Most Ordered,,,,Gone Classic,18.90,standard,"Homemade beef patty, streaky bacon,melted cheddar cheese, sautéed onions, beetroot relish, home made garlic aioli, fried egg, lettuce and tomato in our homemade toasted bun.",,,
,Menu,,,,Most Ordered,,,,Retro Chicken,18.90,standard,"Marinated grilled chicken, streaky bacon, melted Camembert cheese, homemade garlic aioli, spiced plum sauce, sautéed onions, lettuce and tomato in our homemade toasted bun.",,,
,Menu,,,,Beef Burgers,,,,The Aztec,14.32,standard,"Homemade beef patty, melted cheddar cheese, smashed avocado, sautéed onions, home-made garlic aioli, crunchy jalapeños, lettuce and tomato in our homemade toasted bun.",,,
,Menu,,,,Beef Burgers,,,,Gone Classic,18.90,standard,"Homemade beef patty, streaky bacon,melted cheddar cheese, sautéed onions, beetroot relish, home made garlic aioli, fried egg, lettuce and tomato in our homemade toasted bun.",,,
,Menu,,,,Beef Burgers,,,,Gone Cheesy,17.90,standard,"Homemade beef patty, melted cheddar cheese, home-made garlic aioli, gherkins, sautéed onions, lettuce and tomato in our homemade toasted bun.",,,
,Menu,,,,Beef Burgers,,,,Peek a Moo,13.90,standard,"Homemade beef Pattie, melted cheddar cheese, gherkin, mustard, lettuce and homemade garlic aioli in our homemade toasted bun.",,,
,Menu,,,,Beef Burgers,,,,The Big Daddy,21.90,standard,"Homemade double beef patty, double streaky bacon, double melted Cheddar cheese, crispy onions rings, crispy jalapeños, home-made garlic aioli and home-made BBQ sauce in our homemade toasted bun.",,,
,Menu,,,,Beef Burgers,,,,The American,17.90,standard,"Homemade beef Pattie, streaky bacon, melted cheddar cheese, homemade onion rings, lettuce, homemade garlic aioli and homemade bbq sauce in our homemade toasted bun.",,,
,Menu,,,,Chicken Burgers,,,,Retro Chicken,18.90,standard,"Marinated grilled chicken, streaky bacon, melted Camembert cheese, homemade garlic aioli, spiced plum sauce, sautéed onions, lettuce and tomato in our homemade toasted bun.",,,
,Menu,,,,Chicken Burgers,,,,Chicken Little,14.90,standard,"Marinated grilled chicken, melted Cheddar cheese, sautéed onions, home-made garlic aioli, lettuce and tomato in our homemade toasted bun.",,,
,Menu,,,,Chicken Burgers,,,,Hawaiian,17.90,standard,"Crumbed chicken, grilled pineapple ring, melted cheddar cheese, streaky bacon, lettuce, homemade garlic aioli and homemade bbq sauce in our homemade toasted bun.",,,
,Menu,,,,Chicken Burgers,,,,The Commitment Burger,17.90,standard,"Marinated grilled chicken, streaky bacon, melted cheddar cheese, lettuce, homemade garlic aioli and plum sauce in our homemade toasted bun.",,,
,Menu,,,,Chicken Burgers,,,,I Am Piggie Burger,14.32,standard,"Buttermilk crispy chicken, streaky bacon, melted cheddar cheese, lettuce, homemade garlic aioli and homemade bbq sauce in our homemade toasted bun.",,,
,Menu,,,,Chicken Burgers,,,,Gone Clucky,18.90,standard,"Buttermilk crispy chicken, streaky bacon, melted cheddar cheese, smashed avocado, gone burger sauce, sautéed onions, lettuce and tomato in our homemade toasted bun.",,,
,Menu,,,,Veggie Burgers,,,,Vege Smash,15.90,standard,"Homemade Kumara and chickpea smash pattie, beetroot, home-made tomato chilli jam, lettuce and tomato in our homemade toasted bun.",,,
,Menu,,,,Veggie Burgers,,,,Gone Gardening,16.90,standard,"Crumbed mushroom, Camembert cheese, homemade garlic aioli, crispy onion rings, lettuce and tomato in our homemade toasted bun.",,,
,Menu,,,,Kiddie Burgers,,,,Chicken,11.90,standard,"Marinated grilled chicken, melted cheddar cheese, home-made garlic aioli and tomato sauce in our homemade toasted bun.",,,
,Menu,,,,Kiddie Burgers,,,,Beef,11.90,standard,"Homemade beef patty, melted Cheddar cheese, home-made garlic aioli and tomato sauce in our homemade toasted bun.",,,
,Menu,,,,Desserts,,,,Cheese Cake,6.90,standard,Salted caramel cheesecake,,,
,Menu,,,,Desserts,,,,Gluten Free Brownie,6.90,standard,Double chocolate gluten free brownie with icing sugar.,,,
,Menu,,,,Sides,,,,Loaded Wedges,15.90,standard,"Topped with Bacon, cheese and sweet chilli. Served with homemade aioli (Not Gluten free)",,,
,Menu,,,,Sides,,,,Kumara Fries Regular,8.50,standard,Served with Homemade Aioli.,,,
,Menu,,,,Sides,,,,Premium Fries Large,9.90,standard,Premium sure crispy fries served with home-made aioli.,,,
,Menu,,,,Sides,,,,Crumbed Calamari,9.90,standard,Served with Homemade Aioli. (Not Gluten free),,,
,Menu,,,,Sides,,,,Premium Fries Combo Large,13.90,standard,Premium sure crispy fries. Served with home-made aioli and drink from coke range.,,,
,Menu,,,,Sides,,,,Kumara Fries Large,10.90,standard,Served with home-made aioli.,,,
,Menu,,,,Sides,,,,Seasoned Wedges Regular,7.50,standard,Seasoned wedges served with home-made aioli. (Not Gluten free),,,
,Menu,,,,Sides,,,,Seasoned Wedges Large,9.90,standard,Seasoned Wedges served with home-made aioli. (Not Gluten free),,,
,Menu,,,,Sides,,,,Premium Fries Combo Regular,9.50,standard,Premium sure crispy fries served with home-made aioli and drink from coke range.,,,
,Menu,,,,Sides,,,,Premium Fries Regular,7.50,standard,Premium sure crispy fries served with home-made aioli.,,,
,Menu,,,,Sides,,,,Loaded Fries,15.99,standard,Premium sure crispy fries topped with bacon and cheese. Served with home-made Aioli.,,,
