menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags,imageURL
,Menu,,,,Love Combo,,,,Double Pizza Deal,57.00,standard,"Choose from Margherita Pizza, Vege Farm Pizza, Spicy Tofu Pizza, Hawaiian Pizza, BBQ Chickun & Bakon Pizza, Pepperoni Pizza. If you require Gluten Free pizza please choose gluten free options. Note: BBQ Chickun & Bakon Pizza and Pepperoni Pizza can't be gluten free. Also please specify your choice of pizzas.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/736e3157c9b30be7cb4dd17881be51d9/58f691da9eaef86b0b51f9b2c483fe63.jpeg
,Menu,,,,Love Combo,,,,Trio Pizza Deal,79.00,standard,"Choose from Margherita Pizza, Vege Farm Pizza, Spicy Tofu Pizza, Hawaiian Pizza, BBQ Chickun & Bakon Pizza, Pepperoni Pizza. If you require Gluten Free pizza please choose gluten free options. Note: BBQ Chickun & Bakon Pizza and Pepperoni Pizza can't be gluten free. Also please specify your choice of pizzas.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/8a670dadbb814fa31575f6ef054e834a/58f691da9eaef86b0b51f9b2c483fe63.jpeg
,Menu,,,,Love Combo,,,,Pizza Party Deal,110.00,standard,"Choose from Margherita Pizza, Vege Farm Pizza, Spicy Tofu Pizza, Hawaiian Pizza, BBQ Chickun & Bakon Pizza, Pepperoni Pizza. If you require Gluten Free pizza please choose gluten free options. Note: BBQ Chickun & Bakon Pizza and Pepperoni Pizza can't be gluten free. Also please specify your choice of pizzas.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/4050ced642f75ec508728ed694ef36ee/58f691da9eaef86b0b51f9b2c483fe63.jpeg
,Menu,,,,Love Combo,,,,Double Pizza + Loaded Fries Deal,75.00,standard,"Choose from Margherita Pizza, Vege Farm Pizza, Spicy Tofu Pizza, Hawaiian Pizza, BBQ Chickun & Bakon Pizza, Pepperoni Pizza. If you require Gluten Free pizza please choose gluten free options. Note: BBQ Chickun & Bakon Pizza and Pepperoni Pizza can't be gluten free. Also please specify your choice of pizzas.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/41c64a96f21acb942cedb4d6e45adf0e/58f691da9eaef86b0b51f9b2c483fe63.jpeg
,Menu,,,,Love Combo,,,,Premium Burger + Regular Fries + Drink + Ketchup,39.00,standard,Choose any premium burger of your choice and enjoy whole combo. Note: For gluten free bun choose extra option and also please note Chickun burger and frida burgers patties are not gluten free.,,,,https://tb-static.uber.com/prod/image-proc/processed_images/b6186b24b1bc4295a7ede3dad2ce003c/58f691da9eaef86b0b51f9b2c483fe63.jpeg
,Menu,,,,Love Combo,,,,Premium Burger + Loaded Fries + Drink,49.00,standard,"Choose from Margherita Pizza, Vege Farm Pizza, Spicy Tofu Pizza, Hawaiian Pizza, BBQ Chickun & Bakon Pizza, Pepperoni Pizza. If you require Gluten Free pizza please choose gluten free options. Note: BBQ Chickun & Bakon Pizza and Pepperoni Pizza can't be gluten free. Also please specify your choice of pizzas.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/8f5e4d246f2678461b9b0e0eefd7c6b9/58f691da9eaef86b0b51f9b2c483fe63.jpeg
,Menu,,,,Featured Items,,,,Double Pizza Deal,57.00,standard,"Choose from Margherita Pizza, Vege Farm Pizza, Spicy Tofu Pizza, Hawaiian Pizza, BBQ Chickun & Bakon Pizza, Pepperoni Pizza. If you require Gluten Free pizza please choose gluten free options. Note: BBQ Chickun & Bakon Pizza and Pepperoni Pizza can't be gluten free. Also please specify your choice of pizzas.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/736e3157c9b30be7cb4dd17881be51d9/58f691da9eaef86b0b51f9b2c483fe63.jpeg
,Menu,,,,Featured Items,,,,Trio Pizza Deal,79.00,standard,"Choose from Margherita Pizza, Vege Farm Pizza, Spicy Tofu Pizza, Hawaiian Pizza, BBQ Chickun & Bakon Pizza, Pepperoni Pizza. If you require Gluten Free pizza please choose gluten free options. Note: BBQ Chickun & Bakon Pizza and Pepperoni Pizza can't be gluten free. Also please specify your choice of pizzas.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/8a670dadbb814fa31575f6ef054e834a/58f691da9eaef86b0b51f9b2c483fe63.jpeg
,Menu,,,,Featured Items,,,,Pizza Party Deal,110.00,standard,"Choose from Margherita Pizza, Vege Farm Pizza, Spicy Tofu Pizza, Hawaiian Pizza, BBQ Chickun & Bakon Pizza, Pepperoni Pizza. If you require Gluten Free pizza please choose gluten free options. Note: BBQ Chickun & Bakon Pizza and Pepperoni Pizza can't be gluten free. Also please specify your choice of pizzas.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/4050ced642f75ec508728ed694ef36ee/58f691da9eaef86b0b51f9b2c483fe63.jpeg
,Menu,,,,Featured Items,,,,Double Pizza + Loaded Fries Deal,75.00,standard,"Choose from Margherita Pizza, Vege Farm Pizza, Spicy Tofu Pizza, Hawaiian Pizza, BBQ Chickun & Bakon Pizza, Pepperoni Pizza. If you require Gluten Free pizza please choose gluten free options. Note: BBQ Chickun & Bakon Pizza and Pepperoni Pizza can't be gluten free. Also please specify your choice of pizzas.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/41c64a96f21acb942cedb4d6e45adf0e/58f691da9eaef86b0b51f9b2c483fe63.jpeg
