menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags
,Menu,,,,Love Combo,,,,Double Pizza Deal,57.00,standard,"Choose from Margherita Pizza, Vege Farm Pizza, Spicy Tofu Pizza, Hawaiian Pizza, BBQ Chickun & Bakon Pizza, Pepperoni Pizza. If you require Gluten Free pizza please choose gluten free options. Note: BBQ Chickun & Bakon Pizza and Pepperoni Pizza can't be gluten free. Also please specify your choice of pizzas.",,,
,Menu,,,,Love Combo,,,,Trio Pizza Deal,79.00,standard,"Choose from Margherita Pizza, Vege Farm Pizza, Spicy Tofu Pizza, Hawaiian Pizza, BBQ Chickun & Bakon Pizza, Pepperoni Pizza. If you require Gluten Free pizza please choose gluten free options. Note: BBQ Chickun & Bakon Pizza and Pepperoni Pizza can't be gluten free. Also please specify your choice of pizzas.",,,
,Menu,,,,Love Combo,,,,Pizza Party Deal,110.00,standard,"Choose from Margherita Pizza, Vege Farm Pizza, Spicy Tofu Pizza, Hawaiian Pizza, BBQ Chickun & Bakon Pizza, Pepperoni Pizza. If you require Gluten Free pizza please choose gluten free options. Note: BBQ Chickun & Bakon Pizza and Pepperoni Pizza can't be gluten free. Also please specify your choice of pizzas.",,,
,Menu,,,,Love Combo,,,,Double Pizza + Loaded Fries Deal,75.00,standard,"Choose from Margherita Pizza, Vege Farm Pizza, Spicy Tofu Pizza, Hawaiian Pizza, BBQ Chickun & Bakon Pizza, Pepperoni Pizza. If you require Gluten Free pizza please choose gluten free options. Note: BBQ Chickun & Bakon Pizza and Pepperoni Pizza can't be gluten free. Also please specify your choice of pizzas.",,,
,Menu,,,,Love Combo,,,,Premium Burger + Regular Fries + Drink + Ketchup,39.00,standard,Choose any premium burger of your choice and enjoy whole combo. Note: For gluten free bun choose extra option and also please note Chickun burger and frida burgers patties are not gluten free.,,,
,Menu,,,,Love Combo,,,,Premium Burger + Loaded Fries + Drink,49.00,standard,"Choose from Margherita Pizza, Vege Farm Pizza, Spicy Tofu Pizza, Hawaiian Pizza, BBQ Chickun & Bakon Pizza, Pepperoni Pizza. If you require Gluten Free pizza please choose gluten free options. Note: BBQ Chickun & Bakon Pizza and Pepperoni Pizza can't be gluten free. Also please specify your choice of pizzas.",,,
,Menu,,,,Featured Items,,,,Double Pizza Deal,57.00,standard,"Choose from Margherita Pizza, Vege Farm Pizza, Spicy Tofu Pizza, Hawaiian Pizza, BBQ Chickun & Bakon Pizza, Pepperoni Pizza. If you require Gluten Free pizza please choose gluten free options. Note: BBQ Chickun & Bakon Pizza and Pepperoni Pizza can't be gluten free. Also please specify your choice of pizzas.",,,
,Menu,,,,Featured Items,,,,Trio Pizza Deal,79.00,standard,"Choose from Margherita Pizza, Vege Farm Pizza, Spicy Tofu Pizza, Hawaiian Pizza, BBQ Chickun & Bakon Pizza, Pepperoni Pizza. If you require Gluten Free pizza please choose gluten free options. Note: BBQ Chickun & Bakon Pizza and Pepperoni Pizza can't be gluten free. Also please specify your choice of pizzas.",,,
,Menu,,,,Featured Items,,,,Pizza Party Deal,110.00,standard,"Choose from Margherita Pizza, Vege Farm Pizza, Spicy Tofu Pizza, Hawaiian Pizza, BBQ Chickun & Bakon Pizza, Pepperoni Pizza. If you require Gluten Free pizza please choose gluten free options. Note: BBQ Chickun & Bakon Pizza and Pepperoni Pizza can't be gluten free. Also please specify your choice of pizzas.",,,
,Menu,,,,Featured Items,,,,Double Pizza + Loaded Fries Deal,75.00,standard,"Choose from Margherita Pizza, Vege Farm Pizza, Spicy Tofu Pizza, Hawaiian Pizza, BBQ Chickun & Bakon Pizza, Pepperoni Pizza. If you require Gluten Free pizza please choose gluten free options. Note: BBQ Chickun & Bakon Pizza and Pepperoni Pizza can't be gluten free. Also please specify your choice of pizzas.",,,
