menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags,imageURL
,Featured Items,,,,Featured Items,,,,Steamed Chicken Momo,30.00,standard,No. 1 most liked,,,,https://tb-static.uber.com/prod/image-proc/processed_images/f88abdfb8625bb895c33e433b5093a77/0fb376d1da56c05644450062d25c5c84.jpeg
,Featured Items 2,,,,Featured Items,,,,Chicken Fried Noodles,31.00,standard,No. 2 most liked,,,,https://tb-static.uber.com/prod/image-proc/processed_images/31f3198dfba445506a613976e4e1a403/0fb376d1da56c05644450062d25c5c84.jpeg
,Featured Items 3,,,,Featured Items,,,,Chicken Jhol Momo,34.00,standard,No. 3 most liked,,,,https://tb-static.uber.com/prod/image-proc/processed_images/73a88950c107b0ccddb96368f6c8fc5e/0fb376d1da56c05644450062d25c5c84.jpeg
,Featured Items 4,,,,Featured Items,,,,Mixed Fried Noodles,35.00,standard,,,,,https://tb-static.uber.com/prod/image-proc/processed_images/31f3198dfba445506a613976e4e1a403/0fb376d1da56c05644450062d25c5c84.jpeg
,Featured Items 5,,,,Featured Items,,,,Steamed Vegan Momo (VG),30.00,standard,,,,,https://tb-static.uber.com/prod/image-proc/processed_images/0804ff647ad36fb478d45eb7d83ad90c/0fb376d1da56c05644450062d25c5c84.jpeg
,Featured Items 6,,,,Featured Items,,,,Vegan Fried Noodles (VG),26.00,standard,,,,,https://tb-static.uber.com/prod/image-proc/processed_images/31f3198dfba445506a613976e4e1a403/0fb376d1da56c05644450062d25c5c84.jpeg
,Featured Items 7,,,,Featured Items,,,,Egg Fried Noodles,31.00,standard,,,,,https://tb-static.uber.com/prod/image-proc/processed_images/31f3198dfba445506a613976e4e1a403/0fb376d1da56c05644450062d25c5c84.jpeg
,Mains,,,,Mains,,,,Steamed Vegan Momo (VG),30.00,standard,Comes in twelve pieces.,,,,https://tb-static.uber.com/prod/image-proc/processed_images/0804ff647ad36fb478d45eb7d83ad90c/0fb376d1da56c05644450062d25c5c84.jpeg
,Mains 9,,,,Mains,,,,Steamed Chicken Momo,30.00,standard,Comes in twelve pieces.,,,Popular,https://tb-static.uber.com/prod/image-proc/processed_images/f88abdfb8625bb895c33e433b5093a77/0fb376d1da56c05644450062d25c5c84.jpeg
,Mains 10,,,,Mains,,,,Vegan Jhol Momo (VG),34.00,standard,Comes in twelve pieces.,,,,https://tb-static.uber.com/prod/image-proc/processed_images/73a88950c107b0ccddb96368f6c8fc5e/0fb376d1da56c05644450062d25c5c84.jpeg
,Mains 11,,,,Mains,,,,Chicken Jhol Momo,34.00,standard,Comes in twelve pieces.,,,,https://tb-static.uber.com/prod/image-proc/processed_images/73a88950c107b0ccddb96368f6c8fc5e/0fb376d1da56c05644450062d25c5c84.jpeg
,Mains 12,,,,Mains,,,,Vegan Fried Noodles (VG),26.00,standard,"Stir-fried noodles, a vegan delight.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/31f3198dfba445506a613976e4e1a403/0fb376d1da56c05644450062d25c5c84.jpeg
,Mains 13,,,,Mains,,,,Egg Fried Noodles,31.00,standard,Stir-fried noodles with eggs.,,,,https://tb-static.uber.com/prod/image-proc/processed_images/31f3198dfba445506a613976e4e1a403/0fb376d1da56c05644450062d25c5c84.jpeg
,Mains 14,,,,Mains,,,,Chicken Fried Noodles,31.00,standard,Stir-fried noodles with chicken.,,,Popular,https://tb-static.uber.com/prod/image-proc/processed_images/31f3198dfba445506a613976e4e1a403/0fb376d1da56c05644450062d25c5c84.jpeg
,Mains 15,,,,Mains,,,,Mixed Fried Noodles,35.00,standard,"Comes with vegetables, chicken and eggs.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/31f3198dfba445506a613976e4e1a403/0fb376d1da56c05644450062d25c5c84.jpeg
,Mains 16,,,,Mains,,,,Vegetable Chilli Momo (V),24.00,standard,"Steamed dumplings filled with a mix of vegetables and spices, served in a chilli sauce.",,,Spicy,https://cn-geo1.uber.com/static/mobile-content/eats/placeholder_images/placeholder_image_restaurants_300x300.png
,Mains 17,,,,Mains,,,,Chicken Chilli Momo,24.00,standard,Spicy chicken dumplings filled with chilli.,,,Spicy,https://cn-geo1.uber.com/static/mobile-content/eats/placeholder_images/placeholder_image_restaurants_300x300.png
