menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags,imageURL
,Menu,,,,Soups,,,,Tom Yum,23.00,standard,"Traditional hot & sour soup w chicken, lemongrass, galangal, kaffir lime leaves, lemon juice and fresh coriander.",,,,https://www.ubereats.com/nz/store/la-ruby-restaurant/6_StMX5sQy2hWyEgdHMA9Q?mod=quickView&modctx=%257B%2522storeUuid%2522%253A%2522ebf4ad31-7e6c-432d-a15b-2120747300f5%2522%252C%2522sectionUuid%2522%253A%2522d668b6a0-da40-441a-bac0-a7fcf3f0ce6c%2522%252C%2522subsectionUuid%2522%253A%2522800c1d7e-6a53-45ff-81a2-634c8bed8dfc%2522%252C%2522itemUuid%2522%253A%2522bd502eb1-486c-5268-9af4-9b949551ed39%2522%252C%2522showSeeDetailsCTA%2522%253Atrue%257D&ps=1
,Menu,,,,Soups,,,,Tom Kha,23.00,standard,A rich aromatic soup that you can enjoy throughout the meal. Fresh tron kaffir lime leaves are used w/ galangal & coconut milk.,,,,https://www.ubereats.com/nz/store/la-ruby-restaurant/6_StMX5sQy2hWyEgdHMA9Q?mod=quickView&modctx=%257B%2522storeUuid%2522%253A%2522ebf4ad31-7e6c-432d-a15b-2120747300f5%2522%252C%2522sectionUuid%2522%253A%2522d668b6a0-da40-441a-bac0-a7fcf3f0ce6c%2522%252C%2522subsectionUuid%2522%253A%2522800c1d7e-6a53-45ff-81a2-634c8bed8dfc%2522%252C%2522itemUuid%2522%253A%252295c2ca56-71d1-5694-bed9-4b4302b37a68%2522%252C%2522showSeeDetailsCTA%2522%253Atrue%257D&ps=1
,Menu,,,,Entrees,,,,Thai spring rolls (4),16.50,standard,Homemade vegetarian roll served w/ sweet chilli sauce,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Entrees,,,,Chicken Satay (4),16.00,standard,Skewered tender grilled chicken pieces served w/ chefs style peanut sauce,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Entrees,,,,Golden Money Bags (4),16.00,standard,Wrapped w/ mix of chicken & Thai herbs served w/ a sweet and sour dipping sauce.,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Entrees,,,,Pork Spare Ribs (6),16.50,standard,Sweet and tender deep fried pork spare ribs w/ chefs special sauce,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Entrees,,,,Curry Puffs (4),16.00,standard,Deep fried minced chicken with onion & kumara in puff pastry,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Entrees,,,,Crumbed Prawns(4),21.00,standard,Butterflied prawn cutlets coated in a light golden coconut breadcrumbs,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Entrees,,,,Mixed Entree Platter (Min 2 People),30.00,standard,"A combination of spring rolls,money bags, fish cakes and chicken satay.",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Entrees,,,,Thai Fish Cakes (5),16.00,standard,Fish patties w/ Thai herbs served w/ sweet cucumber sauce. Very popular in Thailand.,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Entrees,,,,Deep Fried Chicken Wings,18.50,standard,Mixed vegetables deep fried in a light tempura batter,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Entrees,,,,Vegetable Tempura,15.50,standard,Deep fried chicken wings served w/ sweet chilli sauce,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Entrees,,,,Deep Fried Tofu(6),15.00,standard,Deep fried tofu served w/ peanut sauce,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Stir Fry,,,,Cashew Nuts,29.40,standard,"Your choice of tender pieces of chicken, beef or pork stir fried chicken with cashew nits, dried toasted chill,onion and pineapple",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Stir Fry,,,,Pad Prik Gaeng,28.40,standard,"Your choice of meat stir fried in curry paste with fresh green beans, kaffir lime leaves & sweet basil.",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Stir Fry,,,,Peanut Sauce,28.40,standard,"Your choice of tender pieces of chicken, beef or pork stir fried with vegetables and chefs special peanut sauce",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Stir Fry,,,,Oyster Sauce,28.40,standard,"Your choice of tender pieces of chicken, beef or pork stir fried with oyster sauce and seasonal vegetables",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Stir Fry,,,,Basil Stir Fry,28.40,standard,"Minced chicken beast, stir fried with fresh chilli, garlic, bamboo shoot and thai basil",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Stir Fry,,,,Ginger Stir Fry,28.40,standard,Your choice of meat delicately stir fried with fresh ginger & vegetable,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Stir Fry,,,,Pad Prik Sod,28.40,standard,"Your choice of tender pieces of chicken, beef or pork stir fried with fresh chilli, garlic and seasonal vegetables.",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Stir Fry,,,,Sweet And Sour,28.40,standard,"Your choice of meat combined w/ tomato, pineapple,cucumber & stir fried w/ chefs sweet & sour sauce",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Stir Fry,,,,Garlic And Pepper,28.40,standard,"Your choice of meat stir fried w/ garlic, pepper and vegetable topped w/ fresh aromatic coriander.",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Thai Salad,,,,Yum Thai (Vegetarian Yum),28.00,standard,"Thai style peanut sauce & mayonnaise dressing w/steam bean sprout, fresh cucumber, pineapple, tomato, carrots, lettuce & crispy tofu.",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Thai Salad,,,,Yum,28.40,standard,Your choice of meat mixed w/ thai herbs & lemon juice served on a base of fresh vegetables.,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Thai Salad,,,,Nam Tok,28.40,standard,"Tender sliced barbecue choice of park or Beef marinated in fish source & combination with lemon juice, onion, coriander & mint with ground sticky rose. Served with a sel...",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Thai Salad,,,,Som Tum,28.40,standard,"Spicy Thai country style salad with carrot, chilly, SOM TUM tomato, crushed peanuts and lemon juice.",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Thai Salad,,,,Larb,28.40,standard,"Your choice of meat finely minced cooked w/ chilli powder, ground roasted sticky rice, lemon juice, coriander, onion & galangal served w/ on a base of fresh salad vegetables",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Thai Curries,,,,Yellow Curry,29.40,standard,The mildest flavour yellow curry. Your choice of meat combined w/ potato & onion topped w/ cashew nuts,,,,https://tb-static.uber.com/prod/image-proc/processed_images/6028cce848fa365795dabe72b061e9b2/ec1689ae3a25695f1b8e25c59bec5034.jpeg
,Menu,,,,Thai Curries,,,,Pineapple Curry Red,29.40,standard,"Thinly sliced chicken, pork or beef w/ pineapple create the delicate sweet flavours of this curry",,,,https://tb-static.uber.com/prod/image-proc/processed_images/6028cce848fa365795dabe72b061e9b2/ec1689ae3a25695f1b8e25c59bec5034.jpeg
,Menu,,,,Thai Curries,,,,Red Curry,29.40,standard,"Your choice of chicken, beef or pork in a traditional red curry w/ vegetable topped w/ kaffir lime leaves & fresh chilli",,,,https://tb-static.uber.com/prod/image-proc/processed_images/6028cce848fa365795dabe72b061e9b2/ec1689ae3a25695f1b8e25c59bec5034.jpeg
,Menu,,,,Thai Curries,,,,Panang Curry,28.40,standard,Our most popular curry. Your choice of meat sliced in a thick panang curry sauce,,,,https://tb-static.uber.com/prod/image-proc/processed_images/6028cce848fa365795dabe72b061e9b2/ec1689ae3a25695f1b8e25c59bec5034.jpeg
,Menu,,,,Thai Curries,,,,Massaman Curry,28.40,standard,"Your choice of chicken, beef or pork in a village style curry w/ potato & onion topped w/ cashew nuts",,,,https://tb-static.uber.com/prod/image-proc/processed_images/6028cce848fa365795dabe72b061e9b2/ec1689ae3a25695f1b8e25c59bec5034.jpeg
,Menu,,,,Thai Curries,,,,Green Curry,30.40,standard,"Your choice of chicken, beef or pork in a village style curry w/ potato & onion topped w/ cashew nuts",,,,https://tb-static.uber.com/prod/image-proc/processed_images/6028cce848fa365795dabe72b061e9b2/ec1689ae3a25695f1b8e25c59bec5034.jpeg
,Menu,,,,Noodles Soup,,,,Tom Yum Minced Pork Noodles,29.50,standard,Tom Yum soup with minced pork.,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Noodles Soup,,,,Beef Meat Ball Noodles,28.50,standard,Noodles with beef meatballs.,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Noodles Soup,,,,Pork Meat Ball Noodles,28.50,standard,Noodles with pork meatballs.,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Noodles Soup,,,,Chicken Noodle Soup,28.00,standard,Chicken noodle soup.,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/43e8caab4d626296e622c0c5d83fbcee/a4984e970f822a4508b5c064d4c6f753.jpeg
,Menu,,,,Rice/Noodles,,,,Noodles Pad Kee Mao,28.40,standard,Spicy basil flavoured noodles stir fried with your choice of meat.,,,,https://tb-static.uber.com/prod/image-proc/processed_images/6028cce848fa365795dabe72b061e9b2/ec1689ae3a25695f1b8e25c59bec5034.jpeg
,Menu,,,,Rice/Noodles,,,,Fried Rice,28.40,standard,Fried rice with egg & vegetables prepared in chefs thai style,,,,https://tb-static.uber.com/prod/image-proc/processed_images/6028cce848fa365795dabe72b061e9b2/ec1689ae3a25695f1b8e25c59bec5034.jpeg
,Menu,,,,Rice/Noodles,,,,Pad See-Ew,28.40,standard,Stir fried noodles in dark soy sauce & seasonal vegetables in chef's secret recipe.,,,,https://tb-static.uber.com/prod/image-proc/processed_images/6028cce848fa365795dabe72b061e9b2/ec1689ae3a25695f1b8e25c59bec5034.jpeg
,Menu,,,,Rice/Noodles,,,,Pineapple Fried Rice,28.40,standard,"Turmeric style fried rice w/ pineapple,vegetables & eggs",,,,https://tb-static.uber.com/prod/image-proc/processed_images/6028cce848fa365795dabe72b061e9b2/ec1689ae3a25695f1b8e25c59bec5034.jpeg
,Menu,,,,Rice/Noodles,,,,Pad Thai,28.40,standard,"Stir fried thai rice noodles w/ bean sprouts,chives & crushed peanut.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/6028cce848fa365795dabe72b061e9b2/ec1689ae3a25695f1b8e25c59bec5034.jpeg
,Menu,,,,Signature Dishes,,,,Duck Salad,35.50,standard,Duck Salad,,,,https://tb-static.uber.com/prod/image-proc/processed_images/6028cce848fa365795dabe72b061e9b2/ec1689ae3a25695f1b8e25c59bec5034.jpeg
,Menu,,,,Signature Dishes,,,,Cripsy Pork Stir Fried,36.00,standard,Stir fried mixed vegetables & cripsy pork in garlic sauce,,,Popular,https://tb-static.uber.com/prod/image-proc/processed_images/6028cce848fa365795dabe72b061e9b2/ec1689ae3a25695f1b8e25c59bec5034.jpeg
