menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags
,Menu,,,,Soups,,,,Tom Yum,23.00,standard,"Traditional hot & sour soup w chicken, lemongrass, galangal, kaffir lime leaves, lemon juice and fresh coriander.",,,
,Menu,,,,Soups,,,,Tom Kha,23.00,standard,A rich aromatic soup that you can enjoy throughout the meal. Fresh tron kaffir lime leaves are used w/ galangal & coconut milk.,,,
,Menu,,,,Entrees,,,,Thai spring rolls,16.50,standard,Homemade vegetarian roll served w/ sweet chilli sauce,,,
,Menu,,,,Entrees,,,,Chicken Satay,16.00,standard,Skewered tender grilled chicken pieces served w/ chefs style peanut sauce,,,
,Menu,,,,Entrees,,,,Golden Money Bags,16.00,standard,Wrapped w/ mix of chicken & Thai herbs served w/ a sweet and sour dipping sauce.,,,
,Menu,,,,Entrees,,,,Pork Spare Ribs,16.50,standard,Sweet and tender deep fried pork spare ribs w/ chefs special sauce,,,
,Menu,,,,Entrees,,,,Curry Puffs,16.00,standard,Deep fried minced chicken with onion & kumara in puff pastry,,,
,Menu,,,,Entrees,,,,Crumbed Prawns,21.00,standard,Butterflied prawn cutlets coated in a light golden coconut breadcrumbs,,,
,Menu,,,,Entrees,,,,Mixed Entree Platter (Min 2 People),30.00,standard,"A combination of spring rolls,money bags, fish cakes and chicken satay.",,,
,Menu,,,,Entrees,,,,Thai Fish Cakes,16.00,standard,Fish patties w/ Thai herbs served w/ sweet cucumber sauce. Very popular in Thailand.,,,
,Menu,,,,Entrees,,,,Deep Fried Chicken Wings,18.50,standard,Mixed vegetables deep fried in a light tempura batter,,,
,Menu,,,,Entrees,,,,Vegetable Tempura,15.50,standard,Deep fried chicken wings served w/ sweet chilli sauce,,,
,Menu,,,,Entrees,,,,Deep Fried Tofu,15.00,standard,Deep fried tofu served w/ peanut sauce,,,
,Menu,,,,Stir Fry,,,,Cashew Nuts,29.40,standard,"Your choice of tender pieces of chicken, beef or pork stir fried chicken with cashew nits, dried toasted chill,onion and pineapple",,,
,Menu,,,,Stir Fry,,,,Pad Prik Gaeng,28.40,standard,"Your choice of meat stir fried in curry paste with fresh green beans, kaffir lime leaves & sweet basil.",,,
,Menu,,,,Stir Fry,,,,Peanut Sauce,28.40,standard,"Your choice of tender pieces of chicken, beef or pork stir fried with vegetables and chefs special peanut sauce",,,
,Menu,,,,Stir Fry,,,,Oyster Sauce,28.40,standard,"Your choice of tender pieces of chicken, beef or pork stir fried with oyster sauce and seasonal vegetables",,,
,Menu,,,,Stir Fry,,,,Basil Stir Fry,28.40,standard,"Minced chicken beast, stir fried with fresh chilli, garlic, bamboo shoot and thai basil",,,
,Menu,,,,Stir Fry,,,,Ginger Stir Fry,28.40,standard,Your choice of meat delicately stir fried with fresh ginger & vegetable,,,
,Menu,,,,Stir Fry,,,,Pad Prik Sod,28.40,standard,"Your choice of tender pieces of chicken, beef or pork stir fried with fresh chilli, garlic and seasonal vegetables.",,,
,Menu,,,,Stir Fry,,,,Sweet And Sour,28.40,standard,"Your choice of meat combined w/ tomato, pineapple,cucumber & stir fried w/ chefs sweet & sour sauce",,,
,Menu,,,,Stir Fry,,,,Garlic And Pepper,28.40,standard,"Your choice of meat stir fried w/ garlic, pepper and vegetable topped w/ fresh aromatic coriander.",,,
,Menu,,,,Thai Salad,,,,Yum Thai (Vegetarian Yum),28.00,standard,"Thai style peanut sauce & mayonnaise dressing w/steam bean sprout, fresh cucumber, pineapple, tomato, carrots, lettuce & crispy tofu.",,,
,Menu,,,,Thai Salad,,,,Yum,28.40,standard,Your choice of meat mixed w/ thai herbs & lemon juice served on a base of fresh vegetables.,,,
,Menu,,,,Thai Salad,,,,Nam Tok,28.40,standard,"Tender sliced barbecue choice of park or Beef marinated in fish source & combination with lemon juice, onion, coriander & mint with ground sticky rose. Served with a sel...",,,
,Menu,,,,Thai Salad,,,,Som Tum,28.40,standard,"Spicy Thai country style salad with carrot, chilly, SOM TUM tomato, crushed peanuts and lemon juice.",,,
,Menu,,,,Thai Salad,,,,Larb,28.40,standard,"Your choice of meat finely minced cooked w/ chilli powder, ground roasted sticky rice, lemon juice, coriander, onion & galangal served w/ on a base of fresh salad vegetables",,,
,Menu,,,,Thai Curries,,,,Yellow Curry,29.40,standard,The mildest flavour yellow curry. Your choice of meat combined w/ potato & onion topped w/ cashew nuts,,,
,Menu,,,,Thai Curries,,,,Pineapple Curry Red,29.40,standard,"Thinly sliced chicken, pork or beef w/ pineapple create the delicate sweet flavours of this curry",,,
,Menu,,,,Thai Curries,,,,Red Curry,29.40,standard,"Your choice of chicken, beef or pork in a traditional red curry w/ vegetable topped w/ kaffir lime leaves & fresh chilli",,,
,Menu,,,,Thai Curries,,,,Panang Curry,28.40,standard,Our most popular curry. Your choice of meat sliced in a thick panang curry sauce,,,
,Menu,,,,Thai Curries,,,,Massaman Curry,28.40,standard,"Your choice of chicken, beef or pork in a village style curry w/ potato & onion topped w/ cashew nuts",,,
,Menu,,,,Thai Curries,,,,Green Curry,30.40,standard,"Your choice of chicken, beef or pork in a village style curry w/ potato & onion topped w/ cashew nuts",,,
,Menu,,,,Noodles Soup,,,,Tom Yum Minced Pork Noodles,29.50,standard,Tom Yum soup with minced pork.,,,
,Menu,,,,Noodles Soup,,,,Beef Meat Ball Noodles,28.50,standard,Noodles with beef meatballs.,,,
,Menu,,,,Noodles Soup,,,,Pork Meat Ball Noodles,28.50,standard,Noodles with pork meatballs.,,,
,Menu,,,,Noodles Soup,,,,Chicken Noodle Soup,28.00,standard,Chicken noodle soup.,,,
,Menu,,,,Rice/Noodles,,,,Noodles Pad Kee Mao,28.40,standard,Spicy basil flavoured noodles stir fried with your choice of meat.,,,
,Menu,,,,Rice/Noodles,,,,Fried Rice,28.40,standard,Fried rice with egg & vegetables prepared in chefs thai style,,,
,Menu,,,,Rice/Noodles,,,,Pad See-Ew,28.40,standard,Stir fried noodles in dark soy sauce & seasonal vegetables in chef's secret recipe.,,,
,Menu,,,,Rice/Noodles,,,,Pineapple Fried Rice,28.40,standard,"Turmeric style fried rice w/ pineapple,vegetables & eggs",,,
,Menu,,,,Rice/Noodles,,,,Pad Thai,28.40,standard,"Stir fried thai rice noodles w/ bean sprouts,chives & crushed peanut.",,,
,Menu,,,,Signature Dishes,,,,Duck Salad,35.50,standard,Duck Salad,,,
,Menu,,,,Signature Dishes,,,,Cripsy Pork Stir Fried,36.00,standard,Stir fried mixed vegetables & cripsy pork in garlic sauce,,,Popular
,Menu,,,,Signature Dishes,,,,Roasted Duck Red Curry,35.50,standard,"Roasted duck in a traditional red curry w/ tamarid juice, bamboo shoots, pineapple, capsicum and topped w/ sweet basil",,,
,Menu,,,,Signature Dishes,,,,Lamb Shank (with Roti),38.50,standard,Lamb Shank (with Roti),,,
,Menu,,,,Signature Dishes,,,,Fish Fillets Choo Chee Pla,39.00,standard,Deep fried fish stir fried in a sweet & Sour sauce,,,
,Menu,,,,Signature Dishes,,,,Fish Fillets Sweet & Sour (Pla Sam Rod),39.00,standard,Deep fried fish served w/ a chefs special curry sauce topped w/ fresh chilli,,,
,Menu,,,,Extra,,,,Rice,3.50,standard,null,,,
,Menu,,,,Extra,,,,Cashew nut,3.50,standard,null,,,
,Menu,,,,Extra,,,,Roti,3.50,standard,null,,,
,Menu,,,,Extra,,,,Peanut sauce,3.80,standard,null,,,
,Menu,,,,Extra,,,,Fried egg,4.50,standard,null,,,
