menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags
,Menu,,,,Most Ordered,,,,Hawaiian Pizza,21.00,standard,"Tomato sauce, ham, pineapple chunks, and cheese.",,,
,Menu,,,,Most Ordered,,,,Pizza Bread,13.00,standard,"Freshly crushed garlic, virgin olive oil, Italian herbs, and eight cheese blend.",,,
,Menu,,,,Most Ordered,,,,Quattro Stagioni Pizza,25.00,standard,"Tomato sauce, mushrooms, ham, Italian salami, freshly cooked prawns, and cheese.",,,
,Menu,,,,Most Ordered,,,,Margherita Pizza,18.50,standard,Tomato sauce and cheese.,,,
,Menu,,,,Most Ordered,,,,Minos Special Pizza,29.80,standard,"Tomato sauce, mushrooms, capers, onions, capsicum, black Spanish olives, asparagus tips, freshly cooked prawns, flaked tuna, bacon, ham, Italian salami, Mediterranean anchovies, and cheese.",,,
,Menu,,,,Most Ordered,,,,Prosciutto Pizza,21.00,standard,"Tomato sauce, ham, Italian prosciutto and cheese.",,,
,Menu,,,,Most Ordered,,,,Spaghetti Bolognese,25.00,standard,Bolognese meat sauce with herbs and garlic on freshly cooked noodles topped with eight blend cheese a dash of Parmesan and Italian herbs.,,,
,Menu,,,,Featured Items,,,,Hawaiian Pizza,21.00,standard,"Tomato sauce, ham, pineapple chunks, and cheese.",,,
,Menu,,,,Featured Items,,,,Quattro Stagioni Pizza,25.00,standard,"Tomato sauce, mushrooms, ham, Italian salami, freshly cooked prawns, and cheese.",,,
,Menu,,,,Featured Items,,,,Margherita Pizza,18.50,standard,Tomato sauce and cheese.,,,
,Menu,,,,Featured Items,,,,Minos Special Pizza,29.80,standard,"Tomato sauce, mushrooms, capers, onions, capsicum, black Spanish olives, asparagus tips, freshly cooked prawns, flaked tuna, bacon, ham, Italian salami, Mediterranean anchovies, and cheese.",,,
,Menu,,,,Featured Items,,,,Pizza Bread,13.00,standard,"Freshly crushed garlic, virgin olive oil, Italian herbs, and eight cheese blend.",,,
,Menu,,,,Featured Items,,,,Prosciutto Pizza,21.00,standard,"Tomato sauce, ham, Italian prosciutto and cheese.",,,
,Menu,,,,Featured Items,,,,Spaghetti Bolognese,25.00,standard,Bolognese meat sauce with herbs and garlic on freshly cooked noodles topped with eight blend cheese a dash of Parmesan and Italian herbs.,,,
,Menu,,,,Desserts,,,,Cheesecake,15.00,standard,Creamy cheesecake on a graham cracker crust.,,,
,Menu,,,,Desserts,,,,Tiramisu,12.00,standard,"Ladyfingers soaked in espresso, layered with mascarpone cheese, and dusted with cocoa powder.",,,
,Menu,,,,Entrée,,,,Prawn Cocktail,16.00,standard,"10 pieces of freshly cooked prawns, seafood dressing on locally grown Lollo Biondi, lemon",,,
,Menu,,,,Entrée,,,,Italian Salad,14.00,standard,"Lollo Biondi, fresh tomato, cucumber, red onion, olives, feta, pepperoncini, house Italian dressing",,,
,Menu,,,,Entrée,,,,Pizza Bread,13.00,standard,"Freshly crushed garlic, virgin olive oil, Italian herbs, and eight cheese blend.",,,
,Menu,,,,Combos,,,,Carnivores Dream,62.00,standard,One large meatlovers with a meaty pasta and a half price pizza bread.,,,
,Menu,,,,Pasta,,,,Chicken & Bacon Fettuccine,26.00,standard,"Affumicato chicken, bacon, garlic, onion, napoletana sauce, cream, parmigiano",,,
,Menu,,,,Pasta,,,,Spaghetti Carbonara,26.00,standard,"Guanciale, egg, garlic, parmigiano, pepper",,,
,Menu,,,,Pasta,,,,Spaghetti Bolognese,25.00,standard,Bolognese meat sauce with herbs and garlic on freshly cooked noodles topped with eight blend cheese a dash of Parmesan and Italian herbs.,,,
,Menu,,,,Pasta,,,,Chicken Lasagne,27.00,standard,"Gluten free. Freshly roasted chicken, flaked bacon, onions, and fresh herb blend in a creamy sauce between layers of lasagne sheets. Topped with eight cheese blend and sprinkled with Parmesan and Italian herbs.",,,
,Menu,,,,Pasta,,,,Fettuccine Vegetarian,26.00,standard,"Freshly diced seasonal vegetables and fresh fettuccine noodles tossed in a fresh herb, garlic, cream, and tomato sauce.",,,
,Menu,,,,Pasta,,,,Paglia E Fieno,25.00,standard,"Ham, peas, onion, butter, cream, parsley",,,
,Menu,,,,Pasta,,,,Pasta Al Limone,30.00,standard,"Fresh prawns, fresh chilli, shallots, lemon, basil, parsley, cream",,,
,Menu,,,,Pasta,,,,Beef Lasagne,26.00,standard,"Lasagne meat recipe with fresh herbs and garlic between layers of fresh pasta and diced ham topped with tomato sauce, eight blend cheese, a dash of Parmesan, and Italian herbs.",,,
,Menu,,,,Pasta,,,,Moussaka,26.00,standard,"Layers of roast potato, eggplant, and meat sauce topped with a generous layer of bechamel sauce and a sprinkle of Parmesan cheese.",,,
,Menu,,,,Pizza,,,,Hawaiian Pizza,21.00,standard,"Tomato sauce, ham, pineapple chunks, and cheese.",,,
,Menu,,,,Pizza,,,,Pizza Bread,13.00,standard,"Freshly crushed garlic, virgin olive oil, Italian herbs, and eight cheese blend.",,,
,Menu,,,,Pizza,,,,Quattro Stagioni Pizza,25.00,standard,"Tomato sauce, mushrooms, ham, Italian salami, freshly cooked prawns, and cheese.",,,
,Menu,,,,Pizza,,,,Margherita Pizza,18.50,standard,Tomato sauce and cheese.,,,
,Menu,,,,Pizza,,,,Minos Special Pizza,29.80,standard,"Tomato sauce, mushrooms, capers, onions, capsicum, black Spanish olives, asparagus tips, freshly cooked prawns, flaked tuna, bacon, ham, Italian salami, Mediterranean anchovies, and cheese.",,,
,Menu,,,,Pizza,,,,Prosciutto Pizza,21.00,standard,"Tomato sauce, ham, Italian prosciutto and cheese.",,,
,Menu,,,,Pizza,,,,Meat Lovers Pizza,23.00,standard,"Tomato sauce, ham, bacon, Italian salami, and cheese.",,,
,Menu,,,,Pizza,,,,Chicken Pizza,26.50,standard,"Tomato sauce, succulent smoked chicken, creamy brie, cranberry sauce, and cheese.",,,
,Menu,,,,Pizza,,,,Funghi Pizza,21.00,standard,"Tomato sauce, mushrooms, and cheese.",,,
,Menu,,,,Pizza,,,,Paesana Pizza,21.00,standard,"Tomato sauce, onions, black Spanish olives, capsicum, and cheese.",,,
,Menu,,,,Pizza,,,,Mexicana Pizza,23.00,standard,"Tomato sauce, ham, bacon, Italian salami, hot chilli flakes, and cheese.",,,
,Menu,,,,Pizza,,,,Capricciosa Pizza,23.00,standard,"Tomato sauce, Spanish olives, capers, Mediterranean anchovies, and cheese.",,,
,Menu,,,,Pizza,,,,Marinara Pizza,24.00,standard,"Tomato sauce, freshly cooked prawns, flaked tuna, Mediterranean anchovies, freshly cooked mussels, and cheese.",,,
,Menu,,,,Pizza,,,,Bacon Pizza,21.00,standard,"Tomato sauce, bacon, and cheese.",,,
,Menu,,,,Pizza,,,,Vegetarian Pizza,25.50,standard,"Vegetarian. Tomato sauce, mushrooms, onions, capsicum, Spanish olives, asparagus tips, capers, and cheese.",,,
,Menu,,,,Cold Drinks,,,,Fanta,3.00,standard,"Fruity and effervescent soda, typically featuring bold orange flavor and vibrant zest.",,,
,Menu,,,,Cold Drinks,,,,L&P,3.00,standard,330ml in can.,,,
,Menu,,,,Cold Drinks,,,,GInger Beer,6.00,standard,375ml.,,,
,Menu,,,,Cold Drinks,,,,Coke no sugar,3.00,standard,"Coke Zero Sugar: Crisp, Refreshing, No-Calorie Classic Cola",,,
,Menu,,,,Cold Drinks,,,,Lemon Lime Bitters,6.00,standard,375ml.,,,
,Menu,,,,Cold Drinks,,,,Coke,3.00,standard,330ml in can.,,,
,Menu,,,,Cold Drinks,,,,Sprite,3.00,standard,330ml in can.,,,
