menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags,imageURL
,Menu,,,,Fries,,,,Handcut Agria,11.40,standard,These Are Our Famous Hand Cut Chips & Can Be Cooked Separately In Our Gluten Free Fryer If Necessary,,,,https://tb-static.uber.com/prod/image-proc/processed_images/442178a57c3e90bcb7054e328fe7b767/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Fries,,,,Crinkle Cut,10.60,standard,These Can Be Cooked Separately in Our Gluten Free Fryer if Necessary Just Ask,,,,https://tb-static.uber.com/prod/image-proc/processed_images/0c94c1632686b4156ffac4e17fd31918/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Fries,,,,Kumara (Sweet Potato),14.60,standard,These Can Be Cooked Separately in Our Gluten Free Fryer if Necessary Just Ask,,,,https://tb-static.uber.com/prod/image-proc/processed_images/eb986965309f5ffc1bbf185fe49824b9/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Fries,,,,Beer Battered Chips,11.40,standard,Not gluten free,,,,https://tb-static.uber.com/prod/image-proc/processed_images/612217910c4bed1a02bee07842a5db1b/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Fries,,,,"Chips, Cheese & Gravy",15.40,standard,Beer Battered Chips Coated In Stringy Mozzarella And Steaming Hot Gravy,,,,https://tb-static.uber.com/prod/image-proc/processed_images/46b9d7cd9dc1717c001795790e5be9d2/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Featured items,,,,Tarakihi,23.60,standard,Tarakihi Fish Serving,,,,https://tb-static.uber.com/prod/image-proc/processed_images/36ccc81f2a4023257bcc52fea19c1691/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Featured items,,,,Crinkle Cut,10.60,standard,These Can Be Cooked Separately in Our Gluten Free Fryer if Necessary Just Ask,,,,https://tb-static.uber.com/prod/image-proc/processed_images/0c94c1632686b4156ffac4e17fd31918/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Featured items,,,,"Chips, Cheese & Gravy",15.40,standard,"Chips, Cheese & Gravy",,,,https://tb-static.uber.com/prod/image-proc/processed_images/46b9d7cd9dc1717c001795790e5be9d2/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Featured items,,,,Handcut Agria,11.40,standard,These Are Our Famous Hand Cut Chips & Can Be Cooked Separately In Our Gluten Free Fryer If Necessary,,,,https://tb-static.uber.com/prod/image-proc/processed_images/442178a57c3e90bcb7054e328fe7b767/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Featured items,,,,Hoki,19.00,standard,Hoki Fish,,,,https://tb-static.uber.com/prod/image-proc/processed_images/7876c28c11ef82e5012f023a342fb2a9/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Featured items,,,,Craft Beer Battered Sausage,7.15,standard,Craft Beer Battered Sausage,,,,https://tb-static.uber.com/prod/image-proc/processed_images/bb42f64ef3009a06becd399a762a81c0/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Featured items,,,,Chicken Tenders,12.20,standard,Panko Crumbed Free-Range Chicken Strips,,,,https://tb-static.uber.com/prod/image-proc/processed_images/16d36723bc6c413cdc19ecd0f4af485d/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Featured items,,,,Southern Style Chicken Burger,30.90,standard,"Free-Range Chicken Breast, Chipotle Mayo, Guacamole, Crispy Lettuce, Red Onion & Tomato",,,,https://tb-static.uber.com/prod/image-proc/processed_images/b83081b90890d30888a8ba9dacab4e63/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Featured items,,,,Cheesy Garlic Bread,13.00,standard,"Ciabatta Bun, Garlic Butter Mozzarella Cheese",,,,https://tb-static.uber.com/prod/image-proc/processed_images/f617382b67f3c57bf1afdc6d5c3fdf42/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Featured items,,,,Beer Battered Chips,11.40,standard,Not gluten free,,,,https://tb-static.uber.com/prod/image-proc/processed_images/612217910c4bed1a02bee07842a5db1b/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Featured items,,,,C.F.C Snackbox,20.30,standard,C.F.C Snackbox,,,,https://tb-static.uber.com/prod/image-proc/processed_images/4c7b433fa2a75d7e5cb682f9a1779b9b/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Featured items,,,,Kumara (Sweet Potato),14.60,standard,These Can Be Cooked Separately in Our Gluten Free Fryer if Necessary Just Ask,,,,https://tb-static.uber.com/prod/image-proc/processed_images/eb986965309f5ffc1bbf185fe49824b9/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Featured items,,,,Kid Chicken Tenders,16.30,standard,Kid Chicken Tenders,,,,https://tb-static.uber.com/prod/image-proc/processed_images/6d3632fcef262ccb83403ce6f7944e66/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Featured items,,,,Panko Crumbed Calamari,12.20,standard,Panko Crumbed Calamari SIde,,,,https://tb-static.uber.com/prod/image-proc/processed_images/289ce2c09e812dc26355cf5b5985538b/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Featured items,,,,Kid Fish Fingers,16.30,standard,Kid Fish Fingers,,,,https://tb-static.uber.com/prod/image-proc/processed_images/c9441cde0f4640aaa6ac0ff98bdc9e46/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Featured items,,,,Panko Crumbed Fish Burger,30.90,standard,Panko Crumbed Fish Burger,,,,https://tb-static.uber.com/prod/image-proc/processed_images/c92570ce93a293a384540d22f9868973/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Featured items,,,,Coleslaw,9.80,standard,Coleslaw,,,,https://tb-static.uber.com/prod/image-proc/processed_images/2489954958c04a27c0af268742b44367/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Sauces,,,,Homemade Tartare,3.30,standard,Homemade Tartare Sauce,,,,https://tb-static.uber.com/prod/image-proc/processed_images/2c401f6fe7954285806a1ea80f695c48/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Sauces,,,,Watties Tomato Sauce,3.30,standard,Watties Tomato Sauce,,,,https://tb-static.uber.com/prod/image-proc/processed_images/7f52aa7d640402fbcf54864f15a46e65/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Sauces,,,,Homemade Aioli,3.30,standard,Homemade Aioli Sauce,,,Popular,https://tb-static.uber.com/prod/image-proc/processed_images/65a635c9d1e03f44a75e20ba9dc810d2/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Sides,,,,Potato Fritter,4.10,standard,Potato Fritter Side,,,"Thumb up outline, 93%, (30), Popular",https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/3922d6ed2f7b7e799c21184373037bc5/46a88ecd3678dbea69d08c4652e4b1be.jpeg
,Menu,,,,Sides,,,,Jalapeno Popper,8.00,standard,Jalapeno Popper Side,,,"Thumb up outline, 75%, (8)",https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/93cce21b62a5df215cc670ee3e3fdbae/a61049aa54da38ba123c0aecd626bc83.jpeg
,Menu,,,,Sides,,,,Craft Beer Battered Pickled Mussels,12.20,standard,Craft Beer Battered Pickled Mussels Side,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/85c401f40e7ad313d3fa56d347298c05/5a7fe0bbfb3d93f38e24c9b7cdd86ef1.jpeg
,Menu,,,,Sides,,,,Cheesy Garlic Bread,13.00,standard,"Ciabatta Bun, Garlic Butter Mozzarella Cheese",,,"Thumb up outline, 100%, (3)",https://tb-static.uber.com/prod/image-proc/processed_images/f617382b67f3c57bf1afdc6d5c3fdf42/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Sides,,,,Craft Beer Battered Onion Rings,8.10,standard,Craft Beer Battered Onion Rings,,,"Popular, Thumb up outline, 100%, (3)",
,Menu,,,,Sides,,,,Fresh Pineapple Fritter,7.30,standard,Fresh Pineapple Fritter Side,,,"Thumb up outline, 100%, (4)",
,Menu,,,,Sides,,,,Panko Crumbed Calamari,12.20,standard,Panko Crumbed Calamari SIde,,,,
,Menu,,,,Sides,,,,Chicken Tenders,12.20,standard,Panko Crumbed Free-Range Chicken Strips,,,"Thumb up outline, 100%, (3)",
,Menu,,,,Sides,,,,Craft Beer Battered Sausage,7.15,standard,Craft Beer Battered Sausage,,,,
,Menu,,,,Today'S Market Fish,,,,Hoki,19.00,standard,Hoki Fish,,,,https://tb-static.uber.com/prod/image-proc/processed_images/7876c28c11ef82e5012f023a342fb2a9/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Today'S Market Fish,,,,Snapper,26.80,standard,Snapper Fish Serving,,,"Thumb up outline, 100%, (7)",https://tb-static.uber.com/prod/image-proc/processed_images/0c94c1632686b4156ffac4e17fd31918/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Today'S Market Fish,,,,Tarakihi,23.60,standard,Tarakihi Fish Serving,,,"Thumb up outline, 100%, (7)",https://tb-static.uber.com/prod/image-proc/processed_images/36ccc81f2a4023257bcc52fea19c1691/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Burgers,,,,Southern Style Chicken Burger,30.90,standard,"Free-Range Chicken Breast, Chipotle Mayo, Guacamole, Crispy Lettuce, Red Onion & Tomato",,,,https://tb-static.uber.com/prod/image-proc/processed_images/b83081b90890d30888a8ba9dacab4e63/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Burgers,,,,Halloumi Burger,30.90,standard,"Grilled Zany Zeus Halloumi, Beetroot Hummus, Rocket & Harissa Relish",,,,https://tb-static.uber.com/prod/image-proc/processed_images/488b84972f40d1a03d1189bcd03c3fc1/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Burgers,,,,Sticky Pork Belly Burger,30.90,standard,"Pickled Red Cabbage, Ginger, Coriander & Crispy Shallot Salad With Confit Garlic Aioli",,,,https://tb-static.uber.com/prod/image-proc/processed_images/1ce6c0db1573cbb161e067ff16ee8250/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Burgers,,,,August special - Drunk Chick Burger,30.90,standard,Beer Battered chicken - 7 island sauce - house pickles- lettuce. Comes With a combo of Crisp fried Agria chips loaded with hot cheesy sauce. The Perfect meal for One.,,,,https://tb-static.uber.com/prod/image-proc/processed_images/720ad185eddd510b33a606a797a4f22b/c67fc65e9b4e16a553eb7574fba090f1.jpeg
