menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags
,Menu,,,,Fries,,,,Handcut Agria,11.40,standard,These Are Our Famous Hand Cut Chips & Can Be Cooked Separately In Our Gluten Free Fryer If Necessary,,,
,Menu,,,,Fries,,,,Crinkle Cut,10.60,standard,These Can Be Cooked Separately in Our Gluten Free Fryer if Necessary Just Ask,,,
,Menu,,,,Fries,,,,Kumara (Sweet Potato),14.60,standard,These Can Be Cooked Separately in Our Gluten Free Fryer if Necessary Just Ask,,,
,Menu,,,,Fries,,,,Beer Battered Chips,11.40,standard,Not gluten free,,,
,Menu,,,,Fries,,,,"Chips, Cheese & Gravy",15.40,standard,Beer Battered Chips Coated In Stringy Mozzarella And Steaming Hot Gravy,,
,Menu,,,,Featured items,,,,Tarakihi,23.60,standard,Tarakihi Fish Serving,,,
,Menu,,,,Featured items,,,,Crinkle Cut,10.60,standard,These Can Be Cooked Separately in Our Gluten Free Fryer if Necessary Just Ask,,,
,Menu,,,,Featured items,,,,"Chips, Cheese & Gravy",15.40,standard,"Chips, Cheese & Gravy",
,Menu,,,,Featured items,,,,Handcut Agria,11.40,standard,These Are Our Famous Hand Cut Chips & Can Be Cooked Separately In Our Gluten Free Fryer If Necessary,,,
,Menu,,,,Featured items,,,,Hoki,19.00,standard,Hoki Fish,,,
,Menu,,,,Featured items,,,,Craft Beer Battered Sausage,7.15,standard,Craft Beer Battered Sausage,,,
,Menu,,,,Featured items,,,,Chicken Tenders,12.20,standard,Panko Crumbed Free-Range Chicken Strips,,,
,Menu,,,,Featured items,,,,Southern Style Chicken Burger,30.90,standard,"Free-Range Chicken Breast, Chipotle Mayo, Guacamole, Crispy Lettuce
,Menu,,,,Featured items,,,,Cheesy Garlic Bread,13.00,standard,"Ciabatta Bun, Garlic Butter Mozzarella Cheese",,
,Menu,,,,Featured items,,,,Beer Battered Chips,11.40,standard,Not gluten free,,,
,Menu,,,,Featured items,,,,C.F.C Snackbox,20.30,standard,C.F.C Snackbox,,,
,Menu,,,,Featured items,,,,Kumara (Sweet Potato),14.60,standard,These Can Be Cooked Separately in Our Gluten Free Fryer if Necessary Just Ask,,,
,Menu,,,,Featured items,,,,Kid Chicken Tenders,16.30,standard,Kid Chicken Tenders,,,
,Menu,,,,Featured items,,,,Panko Crumbed Calamari,12.20,standard,Panko Crumbed Calamari SIde,,,
,Menu,,,,Featured items,,,,Kid Fish Fingers,16.30,standard,Kid Fish Fingers,,,
,Menu,,,,Featured items,,,,Panko Crumbed Fish Burger,30.90,standard,Panko Crumbed Fish Burger,,,
,Menu,,,,Featured items,,,,Coleslaw,9.80,standard,Coleslaw,,,
,Menu,,,,Sauces,,,,Homemade Tartare,3.30,standard,Homemade Tartare Sauce,,,
,Menu,,,,Sauces,,,,Watties Tomato Sauce,3.30,standard,Watties Tomato Sauce,,,
,Menu,,,,Sauces,,,,Homemade Aioli,3.30,standard,Homemade Aioli Sauce,,,Popular
,Menu,,,,Sides,,,,Potato Fritter,4.10,standard,Potato Fritter Side,,,"Thumb up outline
,Menu,,,,Sides,,,,Jalapeno Popper,8.00,standard,Jalapeno Popper Side,,,"Thumb up outline
,Menu,,,,Sides,,,,Craft Beer Battered Pickled Mussels,12.20,standard,Craft Beer Battered Pickled Mussels Side,,,
,Menu,,,,Sides,,,,Cheesy Garlic Bread,13.00,standard,"Ciabatta Bun, Garlic Butter Mozzarella Cheese",,
,Menu,,,,Sides,,,,Craft Beer Battered Onion Rings,8.10,standard,Craft Beer Battered Onion Rings,,,"Thumb up outline
,Menu,,,,Sides,,,,Fresh Pineapple Fritter,7.30,standard,Fresh Pineapple Fritter Side,,,"Thumb up outline
,Menu,,,,Sides,,,,Panko Crumbed Calamari,12.20,standard,Panko Crumbed Calamari SIde,,,
,Menu,,,,Sides,,,,Chicken Tenders,12.20,standard,Panko Crumbed Free-Range Chicken Strips,,,"Thumb up outline
,Menu,,,,Sides,,,,Craft Beer Battered Sausage,7.15,standard,Craft Beer Battered Sausage,,,
,Menu,,,,Today'S Market Fish,,,,Hoki,19.00,standard,Hoki Fish,,,
,Menu,,,,Today'S Market Fish,,,,Snapper,26.80,standard,Snapper Fish Serving,,,"Thumb up outline
,Menu,,,,Today'S Market Fish,,,,Tarakihi,23.60,standard,Tarakihi Fish Serving,,,"Thumb up outline
,Menu,,,,Burgers,,,,Southern Style Chicken Burger,30.90,standard,"Free-Range Chicken Breast, Chipotle Mayo, Guacamole, Crispy Lettuce
,Menu,,,,Burgers,,,,Halloumi Burger,30.90,standard,"Grilled Zany Zeus Halloumi, Beetroot Hummus, Rocket & Harissa Relish",
,Menu,,,,Burgers,,,,Sticky Pork Belly Burger,30.90,standard,"Pickled Red Cabbage, Ginger, Coriander & Crispy Shallot Salad With Confit Garlic Aioli",
,Menu,,,,Burgers,,,,August special - Drunk Chick Burger,30.90,standard,Beer Battered chicken - 7 island sauce - house pickles- lettuce. Comes With a combo of Crisp fried Agria chips loaded with hot cheesy sauce. The Perfect meal for One.,,,
,Menu,,,,Burgers,,,,Panko Crumbed Fish Burger,30.90,standard,"Cucumber, Capsicum, Spring Onion, Sesame Seeds
,Menu,,,,Burgers,,,,Vegan Quinoa Burger,30.90,standard,"Quinoa, Vegetable And Chickpea Pattie, Guacamole, Lettuce
,Menu,,,,Kids Special,,,,Kid Chicken Tenders,16.30,standard,Free-Range Waitoa Chicken Nuggets With Curly Fries & Tomato Sauce,,,Popular
,Menu,,,,Kids Special,,,,Kid Fish Fingers,16.30,standard,Panko Crumbed Fish Bites With Curly Fries & Tomato Sauce,,,
,Menu,,,,Kids Special,,,,Kids Cheese Burger,16.30,standard,"Handmade NZ Beef Pattie, Cheese & Tomato Sauce",,
,Menu,,,,Specials,,,,Chippery Fried Chicken,16.30,standard,4 Chippery Fried Chicken & 1 Hot Sauce,,,
,Menu,,,,Specials,,,,C.F.C Snackbox,20.30,standard,"3 Chicken, Half Beer Battered Chips & 1 Hot Sauce",,
,Menu,,,,Specials,,,,"Chips, Cheese & Gravy",15.40,standard,Beer Battered Chips Coated In Stringy Mozzarella And Steaming Hot Gravy,,
,Menu,,,,Specials,,,,Donuts,9.80,standard,2 Fresh Donuts Coated In Cinnamon Sugar & Topped With Chocolate Sauce,,,
