menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags
,Menu,,,,Featured Items,,,,Americano Burrito,20.90,standard,,,,
,Menu,,,,Featured Items,,,,Americano Nachos,28.90,standard,"A nest of fresh tortilla chips layered with mince beef, refried beans and cheese. Served with lettuce and cabbage mix, pico de gallo, guacamole and your choice of sauce.",,,
,Menu,,,,Featured Items,,,,Americano Taco Salad,25.90,standard,,,,
,Menu,,,,Featured Items,,,,Bandito Burrito,21.90,standard,,,,
,Menu,,,,Featured Items,,,,California Burrito,21.90,standard,,,,
,Menu,,,,Featured Items,,,,California Nachos,29.90,standard,"A nest of fresh tortilla chips layered with garlic & lime chargrilled chicken, refried beans and cheese. Served with lettuce and cabbage mix, pico de gallo, guacamole and your choice of sauce.",,,
,Menu,,,,Featured Items,,,,California Quesadilla,25.90,standard,,,,
,Menu,,,,Featured Items,,,,California Taco Salad,26.90,standard,"Hand-fried flour tortilla bowl filled with layers of garlic & lime chargrilled chicken, seasoned black beans, brown rice, lettuce and cabbage mix, and cheese. Topped with pico de gallo, sour cream, and guacamole.",,,
,Menu,,,,Featured Items,,,,Chicken Fajita Taco Salad,28.90,standard,,,,
,Menu,,,,Featured Items,,,,Hot Tots,9.90,standard,,,,
,Menu,,,,Featured Items,,,,Jack Burrito,17.90,standard,,,,
,Menu,,,,Featured Items,,,,Jalapeno Chicken Quesadilla,25.90,standard,,,,
,Menu,,,,Featured Items,,,,Lil’ Nachos,10.90,standard,"Your choice of meat or veg, on freshly-made tortilla chips with beans, cheese and sour cream.",,,
,Menu,,,,Featured Items,,,,Lil’ Quesadilla,10.90,standard,"Choice of meat or veg, beans, cheese and sour cream folded and grilled in a flour tortilla.",,,
,Menu,,,,Featured Items,,,,Longboard Burrito,21.90,standard,,,,
,Menu,,,,Featured Items,,,,Longboard Quesadilla,25.90,standard,,,,
,Menu,,,,Featured Items,,,,Longboard Taco Salad,26.90,standard,,,,
,Menu,,,,Featured Items,,,,Mexi Fries,9.90,standard,,,,
,Menu,,,,Featured Items,,,,Churros,8.50,standard,,,,
,Menu,,,,Featured Items,,,,Bandito Quesadilla,25.90,standard,,,,
,Menu,,,,Burritos,,,,Americano Burrito,20.90,standard,"Flour tortilla, seasoned mince beef, brown rice, traditional pinto beans, cheese, pico de gallo, guacamole and sour cream.",,,
,Menu,,,,Burritos,,,,Bandito Burrito,21.90,standard,"Flour tortilla, slow roasted beef barbacoa, brown rice, traditional pinto beans, lettuce, cheese, street corn, guacamole and chipotle crema.",,,
,Menu,,,,Burritos,,,,Bueno Burrito,17.90,standard,"Flour tortilla, fajita veg, brown rice, seasoned black beans, lettuce, cheese, street corn, guacamole and chipotle crema (vegan chipotle available).",,,
,Menu,,,,Burritos,,,,California Burrito,21.90,standard,"Flour tortilla, garlic & lime chargrilled chicken, brown rice, traditional pinto beans, lettuce, cheese, pico de gallo, guacamole and sour cream.",,,
,Menu,,,,Burritos,,,,Chicken Fajita Burrito,22.90,standard,"Flour tortilla, garlic & lime chargrilled chicken, fajita veggies, brown rice, seasoned black beans, lettuce, cheese, pico de gallo, guacamole and jalapeño ranch.",,,
,Menu,,,,Burritos,,,,Jack Burrito,17.90,standard,"Flour tortilla, vegan BBQ jackfruit, brown rice, seasoned black beans, street corn, cheese, guacamole and chipotle crema (vegan chipotle available).",,,
