menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags,imageURL
,Menu,,,,Featured items,,,,Cheesy Garlic Bread,11.49,standard,Cheesy Garlic Bread,,,,https://tb-static.uber.com/prod/image-proc/processed_images/e8758b908d332f6e462db2c9ae295698/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Featured items,,,,Loaded Wedges (Bacon and Cheese),11.49,standard,Loaded Wedges (Bacon and Cheese),,,,https://tb-static.uber.com/prod/image-proc/processed_images/5a2329d07ca9ff0211a06b0a55028a7d/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Featured items,,,,Pepperoni Pizza,14.99,standard,Pepperoni Pizza,,,,https://tb-static.uber.com/prod/image-proc/processed_images/5e72fe5a92480dfd04e9c7d9a57c5e7d/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Featured items,,,,Hawaiian Pizza,14.99,standard,Hawaiian Pizza,,,,https://tb-static.uber.com/prod/image-proc/processed_images/791b8f6f2f4a233d16d9607aee1b2118/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Featured items,,,,Apricot Chicken Delight Pizza,19.99,standard,Apricot Chicken Delight Pizza,,,,https://tb-static.uber.com/prod/image-proc/processed_images/92bd95f08b3ad7274911618f926445c2/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Featured items,,,,Seafood Delight Pizza,19.99,standard,Seafood Delight Pizza,,,,https://tb-static.uber.com/prod/image-proc/processed_images/8920ac31bdc23ca7667dd29909a1d769/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Featured items,,,,Loaded Veggie Delight Pizza (V),19.99,standard,Loaded Veggie Delight Pizza (V),,,,https://tb-static.uber.com/prod/image-proc/processed_images/9a819b125038c34b6c9f05c06af5b0c6/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Featured items,,,,Bacon and Chicken Pasta in White Sauce,19.99,standard,Bacon and Chicken Pasta in White Sauce,,,,https://tb-static.uber.com/prod/image-proc/processed_images/ece84b115be19bde7763dc7d10246c3e/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Featured items,,,,Bacon Delight Pizza,19.99,standard,Bacon Delight Pizza,,,,https://tb-static.uber.com/prod/image-proc/processed_images/c3dc751f3e30b9538849164abea0eb68/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Featured items,,,,Peppery Chicken Delight Pizza,19.99,standard,Peppery Chicken Delight Pizza,,,,https://tb-static.uber.com/prod/image-proc/processed_images/39bcd0b2fe7e27b8706bf879e65e4873/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Burgers,,,,The Earth Bite Burger (V),18.99,standard,"Brioche bun, vegetable patty, lettuce, onions, tomato, onions rings, coleslaw, cheddar cheese slice, aioli and burger sauce.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/9cc1c81181209e7beaddf6db1190cd41/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Burgers,,,,Spicy Veggie Vortex Burger (V),18.99,standard,"Brioche bun, vegetable patty, lettuce, onions, tomato, onions rings, jalapenos, black pepper, cheddar cheese slice, chilli flakes, oregano, aioli and burger sauce.",,,Spicy,https://tb-static.uber.com/prod/image-proc/processed_images/345266be00cac2d114ed7e42c10924ec/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Burgers,,,,The Coop Classic Burger,18.99,standard,"Brioche bun, chicken patty, lettuce, onions, tomato, blue cheese sauce, cheddar cheese slice, parmesan, aioli and burger sauce.",,,,https://www.ubereats.com/nz/store/pizza-delight/ODSEwN_9Qvi-y0f1M9qAIA?mod=quickView&modctx=%257B%2522storeUuid%2522%253A%2522383484c0-dffd-42f8-becb-47f533da8020%2522%252C%2522sectionUuid%2522%253A%25223e6a16c5-b69b-4904-a7eb-a5f6afdb77a9%2522%252C%2522subsectionUuid%2522%253A%25221fbfc1f6-d8bc-4214-9c8e-e20e3d4c955f%2522%252C%2522itemUuid%2522%253A%252250e9f510-26fe-4fc7-a637-5cbdab4821ec%2522%252C%2522showSeeDetailsCTA%2522%253Atrue%257D&ps=1
,Menu,,,,Burgers,,,,The Beef Boss Burger,18.99,standard,"Brioche bun, beef patty, lettuce, onions, tomato, plum sauce, streaky bacon, cheddar cheese slice, Parmesan, aioli and blue cheese sauce.",,,,https://www.ubereats.com/nz/store/pizza-delight/ODSEwN_9Qvi-y0f1M9qAIA?mod=quickView&modctx=%257B%2522storeUuid%2522%253A%2522383484c0-dffd-42f8-becb-47f533da8020%2522%252C%2522sectionUuid%2522%253A%25223e6a16c5-b69b-4904-a7eb-a5f6afdb77a9%2522%252C%2522subsectionUuid%2522%253A%25221fbfc1f6-d8bc-4214-9c8e-e20e3d4c955f%2522%252C%2522itemUuid%2522%253A%25220cbb32ea-4e1f-4430-8108-28b11f0c7a17%2522%252C%2522showSeeDetailsCTA%2522%253Atrue%257D&ps=1
,Menu,,,,Burgers,,,,The Cluck and Oink Burger,18.99,standard,"Brioche bun, chicken patty, lettuce, onions, tomato, streaky bacon, cheddar cheese slice, Parmesan, aioli and burger sauce.",,,,https://www.ubereats.com/nz/store/pizza-delight/ODSEwN_9Qvi-y0f1M9qAIA?mod=quickView&modctx=%257B%2522storeUuid%2522%253A%2522383484c0-dffd-42f8-becb-47f533da8020%2522%252C%2522sectionUuid%2522%253A%25223e6a16c5-b69b-4904-a7eb-a5f6afdb77a9%2522%252C%2522subsectionUuid%2522%253A%25221fbfc1f6-d8bc-4214-9c8e-e20e3d4c955f%2522%252C%2522itemUuid%2522%253A%2522835c99a1-115f-4619-b332-81058ef4dae1%2522%252C%2522showSeeDetailsCTA%2522%253Atrue%257D&ps=1
,Menu,,,,Burgers,,,,Noodlicious Veggie Burger (V),18.99,standard,"Brioche bun, vegetable patty, onions, tomato, vegetable noodles, paneer slice, schezwan sauce, tomato sauce and mayonnaise.",,,,https://www.ubereats.com/nz/store/pizza-delight/ODSEwN_9Qvi-y0f1M9qAIA?mod=quickView&modctx=%257B%2522storeUuid%2522%253A%2522383484c0-dffd-42f8-becb-47f533da8020%2522%252C%2522sectionUuid%2522%253A%25223e6a16c5-b69b-4904-a7eb-a5f6afdb77a9%2522%252C%2522subsectionUuid%2522%253A%25221fbfc1f6-d8bc-4214-9c8e-e20e3d4c955f%2522%252C%2522itemUuid%2522%253A%252297d7ccf1-e547-44a1-b961-df174fe4a931%2522%252C%2522showSeeDetailsCTA%2522%253Atrue%257D&ps=1
,Menu,,,,Pastas,,,,Bacon and Chicken Pasta in White Sauce,19.99,standard,"Penne pasta, bacon flakes, chicken pieces cooked in creamy sauce, Parmesan cheese and mild spices and finished with mozzarella cheese.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/ece84b115be19bde7763dc7d10246c3e/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Pastas,,,,Red Sauce Veggie Pasta (V),19.99,standard,"Penne pasta, onions, capsicum, sweet corns, pineapple cooked in tomato flavoured sauce and spices finished with mozzarella cheese and black olives.",,,V,https://tb-static.uber.com/prod/image-proc/processed_images/3d2a3f1c8f2244db63c75c6b40281a5f/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Pastas,,,,White Sauce Veggie Pasta (V),19.99,standard,"Penne pasta, onions, capsicum and sweet corns cooked in creamy sauce and mild spices and finished with mozzarella, herbs and Parmesan cheese.",,,V,https://tb-static.uber.com/prod/image-proc/processed_images/a85c4cce0f49386f9a31aa5748273ac9/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Pastas,,,,Butter Chicken Pasta,19.99,standard,"Penne pasta, chicken pieces, onions and capsicum cooked in butter sauce and spices and finished with mozzarella cheese.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/ece84b115be19bde7763dc7d10246c3e/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Pastas,,,,Spinach Chicken Pasta,19.99,standard,"Penne pasta, chicken pieces, onions, cooked in spinach sauce and mild spices and finished with mozzarella cheese and baby spinach leaves.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/ece84b115be19bde7763dc7d10246c3e/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Pastas,,,,Red Sauce Chicken Pasta,19.99,standard,"Penne pasta, marinated chicken, onions, capsicum, sweet corns and pineapple cooked tomato flavoured sauce and spicy spices finished with mozzarella cheese and black olives.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/ece84b115be19bde7763dc7d10246c3e/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Pastas,,,,White Sauce Chicken Pasta,19.99,standard,"Penne pasta, marinated chicken, onions, capsicum and sweet corns cooked in creamy sauce and mild spices and finished with mozzarella, herbs and Parmesan cheese.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/ece84b115be19bde7763dc7d10246c3e/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Deluxe Delight Pizza,,,,Peppery Chicken Delight Pizza,19.99,standard,"Spicy. Tomato base, onions, garlic, black pepper, coriander, capsicum, marinated baked chicken, mushrooms, jalapenos, chilli flakes, black olives, mozzarella and peri peri mayonnaise swirl.",,,Spicy,https://tb-static.uber.com/prod/image-proc/processed_images/39bcd0b2fe7e27b8706bf879e65e4873/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Deluxe Delight Pizza,,,,Seafood Delight Pizza,19.99,standard,"Crème fraiche base, onions, spinach, mushrooms, salmon, prawns, shrimps, garlic, black olives and mozzarella topped with oregano and Parmesan.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/8920ac31bdc23ca7667dd29909a1d769/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Deluxe Delight Pizza,,,,Apricot Chicken Delight Pizza,19.99,standard,"Apricot sauce base, onions, garlic, feta cheese, capsicum, caramelised onions, pineapple, marinated baked chicken and mozzarella topped with apricot sauce.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/92bd95f08b3ad7274911618f926445c2/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Deluxe Delight Pizza,,,,Loaded Meaty Delight Pizza,19.99,standard,"Tomato base, marinated chicken, beef, pepperoni, bacon flakes, onions, capsicum, mushrooms, black olives, oregano and mozzarella.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/9a819b125038c34b6c9f05c06af5b0c6/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Deluxe Delight Pizza,,,,Loaded Veggie Delight Pizza (V),19.99,standard,"Tomato base, onions, black pepper, pineapple, capsicum, caramelised onions, mushrooms, tomatoes, ginger, garlic, black olives, avocado, baby spinach, cream and cheese, mozzarella and topped with oregano and Parmesan.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/9a819b125038c34b6c9f05c06af5b0c6/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Deluxe Delight Pizza,,,,BBQ Meaty Delight Pizza,19.99,standard,"Tomato base, barbecue sauce, beef, bacon flakes, pepperoni, streaky bacon, marinated chicken, onions, capsicum, black olives and mozzarella topped with barbecue sauce swirl.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/c3dc751f3e30b9538849164abea0eb68/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Deluxe Delight Pizza,,,,Bacon Delight Pizza,19.99,standard,"Crème fraiche base, bacon flakes, streaky bacon, feta cheese, onions, mushrooms, baby spinach and mozzarella topped with Italian herbs and Parmesan.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/c3dc751f3e30b9538849164abea0eb68/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Deluxe Delight Pizza,,,,Chicken Delight Pizza,19.99,standard,"Tomato base, marinated baked chicken, onions, capsicum, mushrooms, black black olives, garlic and mozzarella topped with Italian herbs.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/0afd086f-6f89-48e5-a85e-23b1e05db98d/70aa2a4db7f990373ca9c376323e3dea.jpeg
