menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags
,Menu,,,,Featured items,,,,Cheesy Garlic Bread,11.49,standard,Cheesy Garlic Bread,,,
,Menu,,,,Featured items,,,,Loaded Wedges (Bacon and Cheese),11.49,standard,Loaded Wedges (Bacon and Cheese),,,
,Menu,,,,Featured items,,,,Pepperoni Pizza,14.99,standard,Pepperoni Pizza,,,
,Menu,,,,Featured items,,,,Hawaiian Pizza,14.99,standard,Hawaiian Pizza,,,
,Menu,,,,Featured items,,,,Apricot Chicken Delight Pizza,19.99,standard,Apricot Chicken Delight Pizza,,,
,Menu,,,,Featured items,,,,Seafood Delight Pizza,19.99,standard,Seafood Delight Pizza,,,
,Menu,,,,Featured items,,,,Loaded Veggie Delight Pizza (V),19.99,standard,Loaded Veggie Delight Pizza (V),,,
,Menu,,,,Featured items,,,,Bacon and Chicken Pasta in White Sauce,19.99,standard,Bacon and Chicken Pasta in White Sauce,,,
,Menu,,,,Featured items,,,,Bacon Delight Pizza,19.99,standard,Bacon Delight Pizza,,,
,Menu,,,,Featured items,,,,Peppery Chicken Delight Pizza,19.99,standard,Peppery Chicken Delight Pizza,,,
,Menu,,,,Burgers,,,,The Earth Bite Burger (V),18.99,standard,"Brioche bun, vegetable patty, lettuce, onions, tomato, onions rings, coleslaw, cheddar cheese slice, aioli and burger sauce.",,,
,Menu,,,,Burgers,,,,Spicy Veggie Vortex Burger (V),18.99,standard,"Brioche bun, vegetable patty, lettuce, onions, tomato, onions rings, jalapenos, black pepper, cheddar cheese slice, chilli flakes, oregano, aioli and burger sauce.",,,Spicy
,Menu,,,,Burgers,,,,The Coop Classic Burger,18.99,standard,"Brioche bun, chicken patty, lettuce, onions, tomato, blue cheese sauce, cheddar cheese slice, parmesan, aioli and burger sauce.",,,
,Menu,,,,Burgers,,,,The Beef Boss Burger,18.99,standard,"Brioche bun, beef patty, lettuce, onions, tomato, plum sauce, streaky bacon, cheddar cheese slice, Parmesan, aioli and blue cheese sauce.",,,
,Menu,,,,Burgers,,,,The Cluck and Oink Burger,18.99,standard,"Brioche bun, chicken patty, lettuce, onions, tomato, streaky bacon, cheddar cheese slice, Parmesan, aioli and burger sauce.",,,
,Menu,,,,Burgers,,,,Noodlicious Veggie Burger (V),18.99,standard,"Brioche bun, vegetable patty, onions, tomato, vegetable noodles, paneer slice, schezwan sauce, tomato sauce and mayonnaise.",,,
,Menu,,,,Pastas,,,,Bacon and Chicken Pasta in White Sauce,19.99,standard,"Penne pasta, bacon flakes, chicken pieces cooked in creamy sauce, Parmesan cheese and mild spices and finished with mozzarella cheese.",,,
,Menu,,,,Pastas,,,,Red Sauce Veggie Pasta (V),19.99,standard,"Penne pasta, onions, capsicum, sweet corns, pineapple cooked in tomato flavoured sauce and spices finished with mozzarella cheese and black olives.",,,V
,Menu,,,,Pastas,,,,White Sauce Veggie Pasta (V),19.99,standard,"Penne pasta, onions, capsicum and sweet corns cooked in creamy sauce and mild spices and finished with mozzarella, herbs and Parmesan cheese.",,,V
,Menu,,,,Pastas,,,,Butter Chicken Pasta,19.99,standard,"Penne pasta, chicken pieces, onions and capsicum cooked in butter sauce and spices and finished with mozzarella cheese.",,,
,Menu,,,,Pastas,,,,Spinach Chicken Pasta,19.99,standard,"Penne pasta, chicken pieces, onions, cooked in spinach sauce and mild spices and finished with mozzarella cheese and baby spinach leaves.",,,
,Menu,,,,Pastas,,,,Red Sauce Chicken Pasta,19.99,standard,"Penne pasta, marinated chicken, onions, capsicum, sweet corns and pineapple cooked tomato flavoured sauce and spicy spices finished with mozzarella cheese and black olives.",,,
,Menu,,,,Pastas,,,,White Sauce Chicken Pasta,19.99,standard,"Penne pasta, marinated chicken, onions, capsicum and sweet corns cooked in creamy sauce and mild spices and finished with mozzarella, herbs and Parmesan cheese.",,,
,Menu,,,,Deluxe Delight Pizza,,,,Peppery Chicken Delight Pizza,19.99,standard,"Spicy. Tomato base, onions, garlic, black pepper, coriander, capsicum, marinated baked chicken, mushrooms, jalapenos, chilli flakes, black olives, mozzarella and peri peri mayonnaise swirl.",,,Spicy
,Menu,,,,Deluxe Delight Pizza,,,,Seafood Delight Pizza,19.99,standard,"Crème fraiche base, onions, spinach, mushrooms, salmon, prawns, shrimps, garlic, black olives and mozzarella topped with oregano and Parmesan.",,,
,Menu,,,,Deluxe Delight Pizza,,,,Apricot Chicken Delight Pizza,19.99,standard,"Apricot sauce base, onions, garlic, feta cheese, capsicum, caramelised onions, pineapple, marinated baked chicken and mozzarella topped with apricot sauce.",,,
,Menu,,,,Deluxe Delight Pizza,,,,Loaded Meaty Delight Pizza,19.99,standard,"Tomato base, marinated chicken, beef, pepperoni, bacon flakes, onions, capsicum, mushrooms, black olives, oregano and mozzarella.",,,
,Menu,,,,Deluxe Delight Pizza,,,,Loaded Veggie Delight Pizza (V),19.99,standard,"Tomato base, onions, black pepper, pineapple, capsicum, caramelised onions, mushrooms, tomatoes, ginger, garlic, black olives, avocado, baby spinach, cream and cheese, mozzarella and topped with oregano and Parmesan.",,,
,Menu,,,,Deluxe Delight Pizza,,,,BBQ Meaty Delight Pizza,19.99,standard,"Tomato base, barbecue sauce, beef, bacon flakes, pepperoni, streaky bacon, marinated chicken, onions, capsicum, black olives and mozzarella topped with barbecue sauce swirl.",,,
,Menu,,,,Deluxe Delight Pizza,,,,Bacon Delight Pizza,19.99,standard,"Crème fraiche base, bacon flakes, streaky bacon, feta cheese, onions, mushrooms, baby spinach and mozzarella topped with Italian herbs and Parmesan.",,,
,Menu,,,,Deluxe Delight Pizza,,,,Chicken Delight Pizza,19.99,standard,"Tomato base, marinated baked chicken, onions, capsicum, mushrooms, black black olives, garlic and mozzarella topped with Italian herbs.",,,
,Menu,,,,Deluxe Delight Pizza,,,,Thai Chicken Delight Pizza,19.99,standard,"Satay base, onions, mushrooms, chilli flakes, capsicum, black pepper, tomatoes, cream and cheese, marinated baked chicken and mozzarella.",,,
,Menu,,,,Deluxe Delight Pizza,,,,"Ham, Chicken and Pineapple Delight Pizza",19.99,standard,"Tomato base, bacon flakes, marinated chicken, pineapple, ham slices, onions, mushrooms and mozzarella topped with oregano and Parmesan.",,,
,Menu,,,,Deluxe Delight Pizza,,,,Cranberry Veggie Lovers Delight Pizza (V),19.99,standard,"Cranberry base, onions, mushrooms, pineapple, capsicum, black olives, camembert cheese and mozzarella.",,,
,Menu,,,,Deluxe Delight Pizza,,,,Veggie Corn Delight Pizza (V),19.99,standard,"Tomato base, onions, garlic, black pepper, capsicum, tomatoes, sweet corns, black olives, mushroom, mozzarella and mayonnaise swirl.",,,
,Menu,,,,Deluxe Delight Pizza,,,,Cranberry Chicken Delight Pizza,19.99,standard,"Cranberry base, onions, marinated chicken, capsicum, mushroom, pineapple, black olives, camembert cheese and mozzarella.",,,
,Menu,,,,Deluxe Delight Pizza,,,,Veggie Paneer Delight Pizza (V),19.99,standard,"Tomato base, mayonnaise, paneer cubes, onions, capsicum, tomatoes, garlic, ginger and mozzarella, topped with Italian herbs.",,,
,Menu,,,,Deluxe Delight Pizza,,,,Thai Paneer Delight Pizza (V),19.99,standard,"Satay sauce base, onions, paneer cubes, mushroom, garlic, chilli flakes, capsicum, black pepper, tomatoes, cream and cheese, mozzarella.",,,
,Menu,,,,Deluxe Delight Pizza,,,,Meaty and Seafood Delight Pizza,19.99,standard,"Tomato base, beef, bacon flakes, onions, salmon, prawns, shrimps, garlic, black pepper and mozzarella topped with garlic aioli.",,,
,Menu,,,,Deluxe Delight Pizza,,,,Garlic Beef Delight Pizza,19.99,standard,"Garlic sauce base, onions, mushrooms, tomatoes, beef, capsicum, streaky bacon, black olives, mozzarella and aioli swirl.",,,
