menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags
,Menu,,,,Appetisers - Vegetarian,,,,Pappadam (V),2.00,standard,"Thin, crispy Indian flatbread served as an appetizer.",,,
,Menu,,,,Appetisers - Vegetarian,,,,Masala Papadam (V),9.50,standard,"Thin, crispy flatbread flavoured with aromatic spices.",,,
,Menu,,,,Appetisers - Vegetarian,,,,Onion Bhaji (V),10.99,standard,Sliced onion spiced and mixed with chickpea and fried until golden.Served with tamarind sauce.,,,
,Menu,,,,Appetisers - Vegetarian,,,,Samosa (V),10.99,standard,Triangular pastry stuffed with potatoes and peas deep fried until crispy. Served with tamarind sauce.,,,
,Menu,,,,Appetisers - Vegetarian,,,,Mixed Pakora (V),12.99,standard,Mixed vegetables battered with chickpeas then fried. Served with tamarind sauce.,,,
,Menu,,,,Appetisers - Vegetarian,,,,Veggie Kathi Roll (V),14.50,standard,"Cottage cheese, mixed vegetable and roasted kabab wrapped in a paratha bread.",,,
,Menu,,,,Appetisers - Vegetarian,,,,Paneer Pakora (V),15.50,standard,Cottage cheese dipped in batter served with tamarind sauce.,,,
,Menu,,,,Appetisers - Vegetarian,,,,Paneer Tikka (V),18.50,standard,"Cheese marinated with yoghurt, herb, spices and grilled in tandoor.",,,
,Menu,,,,Appetisers - Vegetarian,,,,Garden Special Vegetable Platter (V),25.99,standard,"Mixed pakora, onion bhaji, paneer pakora, and spring roll served with tangy tamarind sauce. Vegetarian delight!",,,
,Menu,,,,Appetisers - Vegetarian,,,,Spring Rolls (V),12.50,standard,Thin pastry with vegetables and mild spices served with sweet chilli sauce.,,,
,Menu,,,,Appetisers - Vegetarian,,,,Poppadam Starter (V),12.50,standard,"Crispy poppadoms fried in oil and served with mango chutney, mixed pickle, raita and kachumber salad.",,,
,Menu,,,,Appetisers - Vegetarian,,,,Vegetable Platter for Two (V),28.99,standard,"Combination of mixed pakora, samosa and onion bhaji. Served with tamarind sauce.",,,
,Menu,,,,Featured Items,,,,Pappadam (V),2.00,standard,"Thin, crispy Indian flatbread served as an appetizer.",,,
,Menu,,,,Featured Items,,,,Masala Papadam (V),9.50,standard,"Thin, crispy flatbread flavoured with aromatic spices.",,,
,Menu,,,,Featured Items,,,,Onion Bhaji (V),10.99,standard,Sliced onion spiced and mixed with chickpea and fried until golden.Served with tamarind sauce.,,,
,Menu,,,,Featured Items,,,,Samosa (V),10.99,standard,Triangular pastry stuffed with potatoes and peas deep fried until crispy. Served with tamarind sauce.,,,
,Menu,,,,Featured Items,,,,Mixed Pakora (V),12.99,standard,Mixed vegetables battered with chickpeas then fried. Served with tamarind sauce.,,,
,Menu,,,,Featured Items,,,,Veggie Kathi Roll (V),14.50,standard,"Cottage cheese, mixed vegetable and roasted kabab wrapped in a paratha bread.",,,
,Menu,,,,Featured Items,,,,Paneer Pakora (V),15.50,standard,Cottage cheese dipped in batter served with tamarind sauce.,,,
,Menu,,,,Featured Items,,,,Paneer Tikka (V),18.50,standard,"Cheese marinated with yoghurt, herb, spices and grilled in tandoor.",,,
,Menu,,,,Featured Items,,,,Garden Special Vegetable Platter (V),25.99,standard,"Mixed pakora, onion bhaji, paneer pakora, and spring roll served with tangy tamarind sauce. Vegetarian delight!",,,
,Menu,,,,Featured Items,,,,Spring Rolls (V),12.50,standard,Thin pastry with vegetables and mild spices served with sweet chilli sauce.,,,
,Menu,,,,Featured Items,,,,Poppadam Starter (V),12.50,standard,"Crispy poppadoms fried in oil and served with mango chutney, mixed pickle, raita and kachumber salad.",,,
,Menu,,,,Featured Items,,,,Vegetable Platter for Two (V),28.99,standard,"Combination of mixed pakora, samosa and onion bhaji. Served with tamarind sauce.",,,
,Menu,,,,Appetisers - Non Vegetarian,,,,Tandoori Prawn,23.50,standard,Prawn marinated overnight in yoghurt and spices then roasted in a tandoor oven. Served with mint sauce.,,,
,Menu,,,,Appetisers - Non Vegetarian,,,,Chicken Tikka,16.99,standard,Boneless chicken pieces marinated in yoghurt and then roasted in tandoor. Served with mint sauce.,,,Popular
,Menu,,,,Appetisers - Non Vegetarian,,,,Chicken Lolipop,18.50,standard,"Five spicy chicken wings, deep-fried to perfection for a crispy, flavorful start to your meal.",,,Popular
,Menu,,,,Appetisers - Non Vegetarian,,,,Lamb Kathi Roll,16.50,standard,Lamb roasted kebab wrapped in a paratha bread.,,,
,Menu,,,,Appetisers - Non Vegetarian,,,,Chicken Kathi Roll,15.50,standard,Chicken roasted kebab wrapped in a paratha bread.,,,
,Menu,,,,Appetisers - Non Vegetarian,,,,Seekh Kebab,16.50,standard,Eight pieces. Spiced lamb mince skewered and roasted in tandoor. Served with mint sauce.,,,Popular
,Menu,,,,Appetisers - Non Vegetarian,,,,Fish Tikka,23.00,standard,"Seven pieces. Fish pieces marinated in herbs and spices, cooked in tandoor, served with mint sauce.",,,
,Menu,,,,Appetisers - Non Vegetarian,,,,Chicken Pakora,15.50,standard,"Chicken battered with chickpeas and fried, served with mint sauce.",,,
,Menu,,,,Rice,,,,Pappadam (V),2.00,standard,"Thin, crispy Indian flatbread served as an appetizer.",,,
,Menu,,,,Rice,,,,Masala Papadam (V),9.50,standard,"Thin, crispy flatbread flavoured with aromatic spices.",,,
,Menu,,,,Rice,,,,Onion Bhaji (V),10.99,standard,Sliced onion spiced and mixed with chickpea and fried until golden.Served with tamarind sauce.,,,
,Menu,,,,Rice,,,,Samosa (V),10.99,standard,Triangular pastry stuffed with potatoes and peas deep fried until crispy. Served with tamarind sauce.,,,
,Menu,,,,Rice,,,,Mixed Pakora (V),12.99,standard,Mixed vegetables battered with chickpeas then fried. Served with tamarind sauce.,,,
,Menu,,,,Rice,,,,Veggie Kathi Roll (V),14.50,standard,"Cottage cheese, mixed vegetable and roasted kabab wrapped in a paratha bread.",,,
,Menu,,,,Rice,,,,Paneer Pakora (V),15.50,standard,Cottage cheese dipped in batter served with tamarind sauce.,,,
,Menu,,,,Rice,,,,Paneer Tikka (V),18.50,standard,"Cheese marinated with yoghurt, herb, spices and grilled in tandoor.",,,
,Menu,,,,Rice,,,,Garden Special Vegetable Platter (V),25.99,standard,"Mixed pakora, onion bhaji, paneer pakora, and spring roll served with tangy tamarind sauce. Vegetarian delight!",,,
,Menu,,,,Rice,,,,Spring Rolls (V),12.50,standard,Thin pastry with vegetables and mild spices served with sweet chilli sauce.,,,
,Menu,,,,Rice,,,,Poppadam Starter (V),12.50,standard,"Crispy poppadoms fried in oil and served with mango chutney, mixed pickle, raita and kachumber salad.",,,
,Menu,,,,Rice,,,,Vegetable Platter for Two (V),28.99,standard,"Combination of mixed pakora, samosa and onion bhaji. Served with tamarind sauce.",,,
,Menu,,,,Tandoori Naan Bread,,,,Plain Naan,6.99,standard,"Soft, lightly leavened Indian flatbread.",,,
,Menu,,,,Tandoori Naan Bread,,,,Tandoori Roti,6.99,standard,Wholemeal flour bread baked in tandoor.,,,
,Menu,,,,Tandoori Naan Bread,,,,Garlic Roti,6.99,standard,Whole meal flour bread sprinkled with crushed garlic baked in tandoor.,,,
,Menu,,,,Tandoori Naan Bread,,,,Garlic Naan,6.50,standard,Bread made of refined flour sprinkled with crushed garlic and baked in tandoor.,,,
,Menu,,,,Tandoori Naan Bread,,,,Paneer Kulcha,7.50,standard,Naan with a stuffing of grated paneer with spices. Baked in tandoor.,,,
,Menu,,,,Tandoori Naan Bread,,,,Kashmiri Naan,7.99,standard,"Naan stuffed with crushed nuts, coconut and sultanas. Baked in tandoor.",,,Contains Nuts
,Menu,,,,Tandoori Naan Bread,,,,Onion Kulcha,8.99,standard,Naan with a stuffing of chopped onions and spices. Baked in tandoor.,,,
,Menu,,,,Tandoori Naan Bread,,,,Chicken and Cheese Naan,8.99,standard,Leavened bread stuffed with cheese and chicken baked in tandoor.,,,
,Menu,,,,Tandoori Naan Bread,,,,Lachha Paratha,6.50,standard,Wholemeal flour bread layered with lashings of butter baked in tandoor.,,,
,Menu,,,,Tandoori Naan Bread,,,,Cheese Chilli Naan,7.50,standard,Bread made of refined flour stuffed with cheese and sprinkled with chopped chillies on top baked in tandoor.,,,Spicy
,Menu,,,,Tandoori Naan Bread,,,,Cheese Naan,7.00,standard,Bread stuffed with cheese baked in tandoor.,,,Popular
,Menu,,,,Tandoori Naan Bread,,,,Keema Naan,7.00,standard,Naan with a stuffing of mince lamb and spices baked in tandoor.,,,
,Menu,,,,Tandoori Naan Bread,,,,Aloo Paratha,6.50,standard,Wholemeal flour bread stuffed with mashed potatoes and spices baked in tandoor.,,,
,Menu,,,,Tandoori Naan Bread,,,,Methi Paratha,6.50,standard,Bread made of wholemeal flour and fenugreek leaves baked in tandoor.,,,
,Menu,,,,Tandoori Naan Bread,,,,Garlic and cheese naan,8.50,standard,"Soft naan infused with garlic and cheese, perfect for pairing with your favorite curry dishes.",,,Popular
,Menu,,,,Tandoori Naan Bread,,,,Buttar naan,6.50,standard,"Soft, buttery naan perfect for pairing with your favorite curry dishes.",,,
,Menu,,,,Biryani,,,,Biryani,19.00,standard,Cooked with rice and on a slow fire and served with raita.,,,
,Menu,,,,Biryani,,,,Prawn Biryani,21.50,standard,Prawn cooked with rice and spices on a slow fire and served with raita.,,,
,Menu,,,,Biryani,,,,Fish Biryani,21.50,standard,Fish cooked with rice and spices on a slow fire and served with raita.,,,
,Menu,,,,Lamb and Goat Delights,,,,Lamb Kathi Roll,16.50,standard,Lamb roasted kebab wrapped in a paratha bread.,,,
,Menu,,,,Lamb and Goat Delights,,,,Chicken Kathi Roll,15.50,standard,Chicken roasted kebab wrapped in a paratha bread.,,,
,Menu,,,,Lamb and Goat Delights,,,,Seekh Kebab,16.50,standard,Eight pieces. Spiced lamb mince skewered and roasted in tandoor. Served with mint sauce.,,,Popular
,Menu,,,,Lamb and Goat Delights,,,,Fish Tikka,23.00,standard,"Seven pieces. Fish pieces marinated in herbs and spices, cooked in tandoor, served with mint sauce.",,,
,Menu,,,,Lamb and Goat Delights,,,,Chicken Pakora,15.50,standard,"Chicken battered with chickpeas and fried, served with mint sauce.",,,
,Menu,,,,Seafood Delights,,,,Tandoori Prawn,23.50,standard,Prawn marinated overnight in yoghurt and spices then roasted in a tandoor oven. Served with mint sauce.,,,
,Menu,,,,Seafood Delights,,,,Fish Tikka,23.00,standard,"Seven pieces. Fish pieces marinated in herbs and spices, cooked in tandoor, served with mint sauce.",,,
,Menu,,,,Seafood Delights,,,,Chicken Pakora,15.50,standard,"Chicken battered with chickpeas and fried, served with mint sauce.",,,
,Menu,,,,Chicken mains,,,,Chicken Tikka,16.99,standard,Boneless chicken pieces marinated in yoghurt and then roasted in tandoor. Served with mint sauce.,,,Popular
,Menu,,,,Chicken mains,,,,Chicken Lolipop,18.50,standard,"Five spicy chicken wings, deep-fried to perfection for a crispy, flavorful start to your meal.",,,Popular
,Menu,,,,Chicken mains,,,,Lamb Kathi Roll,16.50,standard,Lamb roasted kebab wrapped in a paratha bread.,,,
,Menu,,,,Chicken mains,,,,Chicken Kathi Roll,15.50,standard,Chicken roasted kebab wrapped in a paratha bread.,,,
,Menu,,,,Chicken mains,,,,Seekh Kebab,16.50,standard,Eight pieces. Spiced lamb mince skewered and roasted in tandoor. Served with mint sauce.,,,Popular
,Menu,,,,Chicken mains,,,,Fish Tikka,23.00,standard,"Seven pieces. Fish pieces marinated in herbs and spices, cooked in tandoor, served with mint sauce.",,,
,Menu,,,,Chicken mains,,,,Chicken Pakora,15.50,standard,"Chicken battered with chickpeas and fried, served with mint sauce.",,,
,Menu,,,,Veggie Delights,,,,Pappadam (V),2.00,standard,"Thin, crispy Indian flatbread served as an appetizer.",,,
,Menu,,,,Veggie Delights,,,,Masala Papadam (V),9.50,standard,"Thin, crispy flatbread flavoured with aromatic spices.",,,
,Menu,,,,Veggie Delights,,,,Onion Bhaji (V),10.99,standard,Sliced onion spiced and mixed with chickpea and fried until golden.Served with tamarind sauce.,,,
,Menu,,,,Veggie Delights,,,,Samosa (V),10.99,standard,Triangular pastry stuffed with potatoes and peas deep fried until crispy. Served with tamarind sauce.,,,
,Menu,,,,Veggie Delights,,,,Mixed Pakora (V),12.99,standard,Mixed vegetables battered with chickpeas then fried. Served with tamarind sauce.,,,
,Menu,,,,Veggie Delights,,,,Veggie Kathi Roll (V),14.50,standard,"Cottage cheese, mixed vegetable and roasted kabab wrapped in a paratha bread.",,,
,Menu,,,,Veggie Delights,,,,Paneer Pakora (V),15.50,standard,Cottage cheese dipped in batter served with tamarind sauce.,,,
,Menu,,,,Veggie Delights,,,,Paneer Tikka (V),18.50,standard,"Cheese marinated with yoghurt, herb, spices and grilled in tandoor.",,,
,Menu,,,,Veggie Delights,,,,Garden Special Vegetable Platter (V),25.99,standard,"Mixed pakora, onion bhaji, paneer pakora, and spring roll served with tangy tamarind sauce. Vegetarian delight!",,,
,Menu,,,,Veggie Delights,,,,Spring Rolls (V),12.50,standard,Thin pastry with vegetables and mild spices served with sweet chilli sauce.,,,
,Menu,,,,Veggie Delights,,,,Poppadam Starter (V),12.50,standard,"Crispy poppadoms fried in oil and served with mango chutney, mixed pickle, raita and kachumber salad.",,,
,Menu,,,,Veggie Delights,,,,Vegetable Platter for Two (V),28.99,standard,"Combination of mixed pakora, samosa and onion bhaji. Served with tamarind sauce.",,,
,Menu,,,,Kid's Special,,,,Veggie Kathi Roll (V),14.50,standard,"Cottage cheese, mixed vegetable and roasted kabab wrapped in a paratha bread.",,,
,Menu,,,,Kid's Special,,,,Paneer Pakora (V),15.50,standard,Cottage cheese dipped in batter served with tamarind sauce.,,,
,Menu,,,,Kid's Special,,,,Paneer Tikka (V),18.50,standard,"Cheese marinated with yoghurt, herb, spices and grilled in tandoor.",,,
,Menu,,,,Kid's Special,,,,Garden Special Vegetable Platter (V),25.99,standard,"Mixed pakora, onion bhaji, paneer pakora, and spring roll served with tangy tamarind sauce. Vegetarian delight!",,,
,Menu,,,,Kid's Special,,,,Vegetable Platter for Two (V),28.99,standard,"Combination of mixed pakora, samosa and onion bhaji. Served with tamarind sauce.",,,
,Menu,,,,Dessert,,,,Poppadam Starter (V),12.50,standard,"Crispy poppadoms fried in oil and served with mango chutney, mixed pickle, raita and kachumber salad.",,,
,Menu,,,,Dessert,,,,Vegetable Platter for Two (V),28.99,standard,"Combination of mixed pakora, samosa and onion bhaji. Served with tamarind sauce.",,,
,Menu,,,,Drinks,,,,Mango Lassei,6.50,standard,"Refreshing mango and yogurt blend, sweetened to perfection for a delightful tropical drink experience.",,,Popular
,Menu,,,,Drinks,,,,Classic ginger beer 330 ml,5.50,standard,"A refreshing, spicy drink made with ginger.",,,
,Menu,,,,Drinks,,,,Lemon lime& butters 330 ml,5.50,standard,Fresh and zesty lemon and lime flavoured drink.,,,
,Menu,,,,Drinks,,,,Sprite 330ml,4.50,standard,Refreshing fizzy drink.,,,
,Menu,,,,Drinks,,,,Coke classic 330 ml,4.50,standard,Classic cola beverage.,,,Popular
,Menu,,,,Drinks,,,,Sprite 330 ml(zero sugar),4.50,standard,A refreshing zero-sugar drink.,,,
,Menu,,,,Drinks,,,,Coke diet 330 ml,4.50,standard,"Low-calorie, crisp and refreshing soft drink.",,,
,Menu,,,,Drinks,,,,Fanta 330ml,4.50,standard,Refreshing orange flavoured soft drink.,,,
,Menu,,,,Drinks,,,,L&P 330ml,4.50,standard,,,,
,Menu,,,,Drinks,,,,Coke 330 ml ( zero sugar ),4.50,standard,"Sugar-free and refreshing, a classic cola drink.",,,
,Menu,,,,Drinks,,,,Salted Lassie,5.50,standard,Blended yogurt and water drink with a dash of cumin powder for a refreshing taste.,,,
,Menu,,,,Curry garden combo deal,,,,Pappadam (V),2.00,standard,"Thin, crispy Indian flatbread served as an appetizer.",,,
,Menu,,,,Curry garden combo deal,,,,Masala Papadam (V),9.50,standard,"Thin, crispy flatbread flavoured with aromatic spices.",,,
,Menu,,,,Curry garden combo deal,,,,Onion Bhaji (V),10.99,standard,Sliced onion spiced and mixed with chickpea and fried until golden.Served with tamarind sauce.,,,
,Menu,,,,Curry garden combo deal,,,,Samosa (V),10.99,standard,Triangular pastry stuffed with potatoes and peas deep fried until crispy. Served with tamarind sauce.,,,
,Menu,,,,Curry garden combo deal,,,,Mixed Pakora (V),12.99,standard,Mixed vegetables battered with chickpeas then fried. Served with tamarind sauce.,,,
,Menu,,,,Curry garden combo deal,,,,Veggie Kathi Roll (V),14.50,standard,"Cottage cheese, mixed vegetable and roasted kabab wrapped in a paratha bread.",,,
,Menu,,,,Curry garden combo deal,,,,Paneer Pakora (V),15.50,standard,Cottage cheese dipped in batter served with tamarind sauce.,,,
,Menu,,,,Curry garden combo deal,,,,Paneer Tikka (V),18.50,standard,"Cheese marinated with yoghurt, herb, spices and grilled in tandoor.",,,
,Menu,,,,Curry garden combo deal,,,,Garden Special Vegetable Platter (V),25.99,standard,"Mixed pakora, onion bhaji, paneer pakora, and spring roll served with tangy tamarind sauce. Vegetarian delight!",,,
,Menu,,,,Curry garden combo deal,,,,Spring Rolls (V),12.50,standard,Thin pastry with vegetables and mild spices served with sweet chilli sauce.,,,
,Menu,,,,Curry garden combo deal,,,,Poppadam Starter (V),12.50,standard,"Crispy poppadoms fried in oil and served with mango chutney, mixed pickle, raita and kachumber salad.",,,
,Menu,,,,Curry garden combo deal,,,,Vegetable Platter for Two (V),28.99,standard,"Combination of mixed pakora, samosa and onion bhaji. Served with tamarind sauce.",,,
