menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags,imageURL
,Meals,,,,Meals,,,,Beef Brisket Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, Smokey T's original sauce, pickles, mustard, mayonnaise and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/31e4c6060db8bf45a663ecdf34347272/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Meals 2,,,,Meals,,,,Pork Belly Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, Smokey T's original sauce, pickles, mustard, mayonnaise and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/f2c1a4742c4753778b372d73081a6b33/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Meals 3,,,,Meals,,,,Jerk Chicken Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, Smokey T's original sauce, pickles, mustard, mayonnaise and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/efd3ce6b2804a64b3b2eac5d16ed55cc/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Meals 4,,,,Meals,,,,Southern Fried Chicken with Brisket Gravy Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, pickles, mustard, mayonnaise and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/a2accbed9def8f83ea2ef16511cb8b71/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Meals 5,,,,Meals,,,,Ocean Beef™ Brisket (12 Hour Smoked) Pit Platter,32.99,standard,"Two grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/15d45743dea0a99a872039d0688bb8e1/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Meals 6,,,,Meals,,,,Pork Belly (Six Hour Smoked) Pit Platter,32.99,standard,"Two grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/1428c6813f884c7c042f1c2f36746946/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Meals 7,,,,Meals,,,,Jerk Chicken (Two Hour Smoked) Pit Platter,32.99,standard,"Two grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/5d598b9f5e896780e96abc7398f20643/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Meals 8,,,,Meals,,,,Platter for Two,79.99,standard,"Brisket, pork belly, pork ribs, buffalo wings, jalapeno cheese sausage, four grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/acaac8b511a3e203d74382ddc0c3c730/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Meals 9,,,,Meals,,,,Ribs,34.99,standard,St Louis pork ribs. Served with slaw.,,,,https://tb-static.uber.com/prod/image-proc/processed_images/44f98261a0c44b6c2e402640e80a586f/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Sides,,,,Sides,,,,Southern Fried Chicken,18.99,standard,,,,,https://tb-static.uber.com/prod/image-proc/processed_images/84a6e4b25bb154fb1059a0d57d4e4785/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
