menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags
,Meals,,,,Meals,,,,Beef Brisket Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, Smokey T's original sauce, pickles, mustard, mayonnaise and a side of waffle fries.",,,
,Meals 2,,,,Meals,,,,Pork Belly Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, Smokey T's original sauce, pickles, mustard, mayonnaise and a side of waffle fries.",,,
,Meals 3,,,,Meals,,,,Jerk Chicken Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, Smokey T's original sauce, pickles, mustard, mayonnaise and a side of waffle fries.",,,
,Meals 4,,,,Meals,,,,Southern Fried Chicken with Brisket Gravy Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, pickles, mustard, mayonnaise and a side of waffle fries.",,,
,Meals 5,,,,Meals,,,,Ocean Beef™ Brisket (12 Hour Smoked) Pit Platter,32.99,standard,"Two grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,
,Meals 6,,,,Meals,,,,Pork Belly (Six Hour Smoked) Pit Platter,32.99,standard,"Two grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,
,Meals 7,,,,Meals,,,,Jerk Chicken (Two Hour Smoked) Pit Platter,32.99,standard,"Two grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,
,Meals 8,,,,Meals,,,,Platter for Two,79.99,standard,"Brisket, pork belly, pork ribs, buffalo wings, jalapeno cheese sausage, four grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,
,Meals 9,,,,Meals,,,,Ribs,34.99,standard,St Louis pork ribs. Served with slaw.,,,
,Sides,,,,Sides,,,,Southern Fried Chicken,18.99,standard,,,,
,Sides 11,,,,Sides,,,,Chicken Wings,18.99,standard,,,,
,Sides 12,,,,Sides,,,,Buffalo Wings,18.99,standard,,,,
,Sides 13,,,,Sides,,,,Jalapeno Cheese Sausage,11.49,standard,,,,
,Sides 14,,,,Sides,,,,Mash with Brisket Gravy,12.49,standard,,,,
,Sides 15,,,,Sides,,,,Mac and Cheese with Pork Belly,15.99,standard,,,,
,Sides 16,,,,Sides,,,,Slaw,6.49,standard,,,,
,Sides 17,,,,Sides,,,,Grilled Tortillas,3.00,standard,Two pieces.,,,
,Sides 18,,,,Sides,,,,Waffle Fries,6.99,standard,,,,
,Sides 19,,,,Sides,,,,Loaded Fries,18.99,standard,"Waffle fries, jerk chicken, sour cream, buffalo sauce and spring onion.",,,
