menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags,imageURL
,Menu,,,,Meals,,,,Beef Brisket Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, Smokey T's original sauce, pickles, mustard, mayonnaise and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/31e4c6060db8bf45a663ecdf34347272/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Meals,,,,Pork Belly Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, Smokey T's original sauce, pickles, mustard, mayonnaise and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/f2c1a4742c4753778b372d73081a6b33/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Meals,,,,Jerk Chicken Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, Smokey T's original sauce, pickles, mustard, mayonnaise and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/efd3ce6b2804a64b3b2eac5d16ed55cc/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Meals,,,,Southern Fried Chicken with Brisket Gravy Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, pickles, mustard, mayonnaise and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/a2accbed9def8f83ea2ef16511cb8b71/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Meals,,,,Ocean Beef™ Brisket (12 Hour Smoked) Pit Platter,32.99,standard,"Two grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/15d45743dea0a99a872039d0688bb8e1/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Meals,,,,Pork Belly (Six Hour Smoked) Pit Platter,32.99,standard,"Two grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/1428c6813f884c7c042f1c2f36746946/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Meals,,,,Jerk Chicken (Two Hour Smoked) Pit Platter,32.99,standard,"Two grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/5d598b9f5e896780e96abc7398f20643/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Meals,,,,Platter for Two,79.99,standard,"Brisket, pork belly, pork ribs, buffalo wings, jalapeno cheese sausage, four grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/acaac8b511a3e203d74382ddc0c3c730/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Meals,,,,Ribs,34.99,standard,"St Louis pork ribs. Served with slaw.
*Full Rack pictured*",,,,https://tb-static.uber.com/prod/image-proc/processed_images/44f98261a0c44b6c2e402640e80a586f/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Featured Items,,,,Beef Brisket Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, Smokey T's original sauce, pickles, mustard, mayonnaise and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/31e4c6060db8bf45a663ecdf34347272/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Featured Items,,,,Pork Belly Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, Smokey T's original sauce, pickles, mustard, mayonnaise and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/f2c1a4742c4753778b372d73081a6b33/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Featured Items,,,,Jerk Chicken Burger,26.49,standard,"Sold out • Served in a toasted organic milk bun with slaw, Smokey T's original sauce, pickles, mustard, mayonnaise and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/efd3ce6b2804a64b3b2eac5d16ed55cc/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Featured Items,,,,Southern Fried Chicken with Brisket Gravy Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, pickles, mustard, mayonnaise and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/a2accbed9def8f83ea2ef16511cb8b71/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Featured Items,,,,Ocean Beef™ Brisket (12 Hour Smoked) Pit Platter,32.99,standard,"Two grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/15d45743dea0a99a872039d0688bb8e1/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Featured Items,,,,Pork Belly (Six Hour Smoked) Pit Platter,32.99,standard,"Two grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/1428c6813f884c7c042f1c2f36746946/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Featured Items,,,,Jerk Chicken (Two Hour Smoked) Pit Platter,32.99,standard,"Sold out • Two grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/5d598b9f5e896780e96abc7398f20643/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Featured Items,,,,Platter for Two,79.99,standard,"Brisket, pork belly, pork ribs, buffalo wings, jalapeno cheese sausage, four grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/acaac8b511a3e203d74382ddc0c3c730/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Featured Items,,,,Ribs,34.99,standard,"St Louis pork ribs. Served with slaw.
*Full Rack pictured*",,,,https://tb-static.uber.com/prod/image-proc/processed_images/44f98261a0c44b6c2e402640e80a586f/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Beverages,,,,Iced Latte,5.00,standard,Suntory Boss 237ml,,,,
,Menu,,,,Beverages,,,,Coke® 330ml,5.00,standard,,,,,https://tb-static.uber.com/prod/image-proc/processed_images/da7099e477b7fac8a0efebd65484f934/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Beverages,,,,Coke® Zero Sugar 330ml,5.00,standard,,,,,https://tb-static.uber.com/prod/image-proc/processed_images/55063343d79408e2e2270996072b1cf9/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Beverages,,,,Fanta® 330ml,5.00,standard,,,,,https://tb-static.uber.com/prod/image-proc/processed_images/a09b0c54cfb648ae851939ffcde60b4c/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Beverages,,,,Sprite® 330ml,5.00,standard,,,,,https://tb-static.uber.com/prod/image-proc/processed_images/5046c65c5abafcbc8535c314a1526351/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Sides,,,,Southern Fried Chicken,18.99,standard,,,,,https://tb-static.uber.com/prod/image-proc/processed_images/84a6e4b25bb154fb1059a0d57d4e4785/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Sides,,,,Chicken Wings,18.99,standard,,,,,https://tb-static.uber.com/prod/image-proc/processed_images/08b2338ffcb19619fbb061fc0ca59c36/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Sides,,,,Buffalo Wings,18.99,standard,,,,,https://tb-static.uber.com/prod/image-proc/processed_images/4eefb099363b82cebe43c9ebb3a94cad/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Sides,,,,Jalapeno Cheese Sausage,11.49,standard,,,,,https://tb-static.uber.com/prod/image-proc/processed_images/f4acc857e5e3fa0574b2ba4535888997/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Sides,,,,Mash with Brisket Gravy,12.49,standard,,,,,https://tb-static.uber.com/prod/image-proc/processed_images/5f4b5bd6680f9880e686426b3ee22f90/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Sides,,,,Mac and Cheese with Pork Belly,15.99,standard,,,,,https://tb-static.uber.com/prod/image-proc/processed_images/4871548a4c4b41bd228c4e97aa5350fc/5143f1e218c67c20fe5a4cd33d90b07b.jpeg
,Menu,,,,Sides,,,,Slaw,6.49,standard,,,,,
,Menu,,,,Sides,,,,Grilled Tortillas,3.00,standard,Two pieces.,,,,
,Menu,,,,Sides,,,,Waffle Fries,6.99,standard,,,,,
,Menu,,,,Sides,,,,Loaded Fries,18.99,standard,"Waffle fries, jerk chicken, sour cream, buffalo sauce and spring onion.",,,,
