menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags
,Menu,,,,Meals,,,,Beef Brisket Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, Smokey T's original sauce, pickles, mustard, mayonnaise and a side of waffle fries.",,,
,Menu,,,,Meals,,,,Pork Belly Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, Smokey T's original sauce, pickles, mustard, mayonnaise and a side of waffle fries.",,,
,Menu,,,,Meals,,,,Jerk Chicken Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, Smokey T's original sauce, pickles, mustard, mayonnaise and a side of waffle fries.",,,
,Menu,,,,Meals,,,,Southern Fried Chicken with Brisket Gravy Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, pickles, mustard, mayonnaise and a side of waffle fries.",,,
,Menu,,,,Meals,,,,Ocean Beef™ Brisket (12 Hour Smoked) Pit Platter,32.99,standard,"Two grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,
,Menu,,,,Meals,,,,Pork Belly (Six Hour Smoked) Pit Platter,32.99,standard,"Two grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,
,Menu,,,,Meals,,,,Jerk Chicken (Two Hour Smoked) Pit Platter,32.99,standard,"Two grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,
,Menu,,,,Meals,,,,Platter for Two,79.99,standard,"Brisket, pork belly, pork ribs, buffalo wings, jalapeno cheese sausage, four grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,
,Menu,,,,Meals,,,,Ribs,34.99,standard,"St Louis pork ribs. Served with slaw.
*Full Rack pictured*",,,
,Menu,,,,Featured Items,,,,Beef Brisket Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, Smokey T's original sauce, pickles, mustard, mayonnaise and a side of waffle fries.",,,
,Menu,,,,Featured Items,,,,Pork Belly Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, Smokey T's original sauce, pickles, mustard, mayonnaise and a side of waffle fries.",,,
,Menu,,,,Featured Items,,,,Jerk Chicken Burger,26.49,standard,"Sold out • Served in a toasted organic milk bun with slaw, Smokey T's original sauce, pickles, mustard, mayonnaise and a side of waffle fries.",,,
,Menu,,,,Featured Items,,,,Southern Fried Chicken with Brisket Gravy Burger,26.49,standard,"Served in a toasted organic milk bun with slaw, pickles, mustard, mayonnaise and a side of waffle fries.",,,
,Menu,,,,Featured Items,,,,Ocean Beef™ Brisket (12 Hour Smoked) Pit Platter,32.99,standard,"Two grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,
,Menu,,,,Featured Items,,,,Pork Belly (Six Hour Smoked) Pit Platter,32.99,standard,"Two grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,
,Menu,,,,Featured Items,,,,Jerk Chicken (Two Hour Smoked) Pit Platter,32.99,standard,"Sold out • Two grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,
,Menu,,,,Featured Items,,,,Platter for Two,79.99,standard,"Brisket, pork belly, pork ribs, buffalo wings, jalapeno cheese sausage, four grilled tortillas, slaw, pickles, Smokey T's original sauce and a side of waffle fries.",,,
,Menu,,,,Featured Items,,,,Ribs,34.99,standard,"St Louis pork ribs. Served with slaw.
*Full Rack pictured*",,,
,Menu,,,,Beverages,,,,Iced Latte,5.00,standard,Suntory Boss 237ml,,,
,Menu,,,,Beverages,,,,Coke® 330ml,5.00,standard,,,,
,Menu,,,,Beverages,,,,Coke® Zero Sugar 330ml,5.00,standard,,,,
,Menu,,,,Beverages,,,,Fanta® 330ml,5.00,standard,,,,
,Menu,,,,Beverages,,,,Sprite® 330ml,5.00,standard,,,,
,Menu,,,,Sides,,,,Southern Fried Chicken,18.99,standard,,,,
,Menu,,,,Sides,,,,Chicken Wings,18.99,standard,,,,
,Menu,,,,Sides,,,,Buffalo Wings,18.99,standard,,,,
,Menu,,,,Sides,,,,Jalapeno Cheese Sausage,11.49,standard,,,,
,Menu,,,,Sides,,,,Mash with Brisket Gravy,12.49,standard,,,,
,Menu,,,,Sides,,,,Mac and Cheese with Pork Belly,15.99,standard,,,,
,Menu,,,,Sides,,,,Slaw,6.49,standard,,,,
,Menu,,,,Sides,,,,Grilled Tortillas,3.00,standard,Two pieces.,,,
,Menu,,,,Sides,,,,Waffle Fries,6.99,standard,,,,
,Menu,,,,Sides,,,,Loaded Fries,18.99,standard,"Waffle fries, jerk chicken, sour cream, buffalo sauce and spring onion.",,,
